"Var1","Freq","prop","sample"
"Plasma",81,0.000810340342944036,"TCGA-A7-A2KD"
"Stromal",15554,0.155605354248784,"TCGA-A7-A2KD"
"T",3580,0.0358150423177735,"TCGA-A7-A2KD"
"unassigned",33,0.000330138658236459,"TCGA-A7-A2KD"
"B",845,0.01108661995854,"TCGA-A7-A4SF"
"DC_Mast",483,0.00633708572778084,"TCGA-A7-A4SF"
"Macrophage",4258,0.0558660683827967,"TCGA-A7-A4SF"
"Malignant",29160,0.382586790521924,"TCGA-A7-A4SF"
"Myoepi",11275,0.147930934949749,"TCGA-A7-A4SF"
"Plasma",26,0.000341126767955076,"TCGA-A7-A4SF"
"Stromal",21296,0.279409063475819,"TCGA-A7-A4SF"
"T",8830,0.115851898501666,"TCGA-A7-A4SF"
"unassigned",45,0.000590411713768401,"TCGA-A7-A4SF"
"B",69,0.000690269204989946,"TCGA-A8-A06T"
"DC_Mast",252,0.00252098318344154,"TCGA-A8-A06T"
"Macrophage",3386,0.0338732105521153,"TCGA-A8-A06T"
"Malignant",80978,0.810095937415592,"TCGA-A8-A06T"
"Myoepi",2963,0.0296415602084813,"TCGA-A8-A06T"
"Plasma",11,0.000110042916737528,"TCGA-A8-A06T"
"Stromal",11709,0.117135682916337,"TCGA-A8-A06T"
"T",584,0.00584227848861056,"TCGA-A8-A06T"
"unassigned",9,9.00351136943408e-05,"TCGA-A8-A06T"
"B",2,3.95796639686529e-05,"TCGA-A8-A076"
"DC_Mast",9,0.000178108487858938,"TCGA-A8-A076"
"Macrophage",4401,0.0870950505630207,"TCGA-A8-A076"
"Malignant",29324,0.580317033108389,"TCGA-A8-A076"
"Myoepi",665,0.0131602382695771,"TCGA-A8-A076"
"Stromal",16067,0.317963230492173,"TCGA-A8-A076"
"T",51,0.00100928143120065,"TCGA-A8-A076"
"unassigned",12,0.000237477983811917,"TCGA-A8-A076"
"B",2,3.35159955088566e-05,"TCGA-A8-A07B"
"DC_Mast",37,0.000620045916913847,"TCGA-A8-A07B"
"Macrophage",3059,0.0512627151307962,"TCGA-A8-A07B"
"Malignant",23151,0.38796440601277,"TCGA-A8-A07B"
"Myoepi",2899,0.0485814354900876,"TCGA-A8-A07B"
"Stromal",30446,0.510213999631324,"TCGA-A8-A07B"
"T",69,0.00115630184505555,"TCGA-A8-A07B"
"unassigned",10,0.000167579977544283,"TCGA-A8-A07B"
"B",103,0.0010303503191085,"TCGA-A8-A07I"
"DC_Mast",187,0.00187063601624552,"TCGA-A8-A07I"
"Macrophage",6026,0.0602804953684253,"TCGA-A8-A07I"
"Malignant",63433,0.634545745553488,"TCGA-A8-A07I"
"Myoepi",4873,0.0487465738351039,"TCGA-A8-A07I"
"Plasma",6,6.0020406938359e-05,"TCGA-A8-A07I"
"Stromal",24759,0.247674209231139,"TCGA-A8-A07I"
"T",382,0.00382129924174219,"TCGA-A8-A07I"
"unassigned",197,0.00197067002780946,"TCGA-A8-A07I"
"B",9,9.00441216195936e-05,"TCGA-A8-A07R"
"DC_Mast",46,0.000460225510500145,"TCGA-A8-A07R"
"Macrophage",3628,0.0362977859150984,"TCGA-A8-A07R"
"Malignant",86090,0.861322047803424,"TCGA-A8-A07R"
"Myoepi",619,0.0061930345869476,"TCGA-A8-A07R"
"Plasma",1,1.00049024021771e-05,"TCGA-A8-A07R"
"Stromal",9322,0.0932657001930946,"TCGA-A8-A07R"
"T",174,0.00174085301797881,"TCGA-A8-A07R"
"unassigned",62,0.000620303948934978,"TCGA-A8-A07R"
"B",448,0.00448058247572184,"TCGA-A8-A08B"
"DC_Mast",817,0.00817106223809095,"TCGA-A8-A08B"
"Macrophage",6123,0.0612379609349215,"TCGA-A8-A08B"
"Malignant",81472,0.814825927370558,"TCGA-A8-A08B"
"Myoepi",1924,0.0192425015251983,"TCGA-A8-A08B"
"Plasma",17,0.000170022102873374,"TCGA-A8-A08B"
"Stromal",6289,0.0628981767629792,"TCGA-A8-A08B"
"T",2872,0.0287237340854311,"TCGA-A8-A08B"
"unassigned",25,0.000250032504225549,"TCGA-A8-A08B"
"B",12,0.0001200216038887,"TCGA-A8-A08C"
"DC_Mast",108,0.0010801944349983,"TCGA-A8-A08C"
"Macrophage",1885,0.01885339361085,"TCGA-A8-A08C"
"Malignant",82223,0.822378028045048,"TCGA-A8-A08C"
"Myoepi",2002,0.0200236042487648,"TCGA-A8-A08C"
"Stromal",13558,0.135604408793583,"TCGA-A8-A08C"
"T",146,0.00146026284731252,"TCGA-A8-A08C"
"unassigned",48,0.0004800864155548,"TCGA-A8-A08C"
"B",129,0.00129051620648259,"TCGA-A8-A08G"
"DC_Mast",239,0.00239095638255302,"TCGA-A8-A08G"
"Macrophage",5615,0.056172468987595,"TCGA-A8-A08G"
"Malignant",74722,0.747519007603041,"TCGA-A8-A08G"
"Myoepi",2043,0.020438175270108,"TCGA-A8-A08G"
"Stromal",16240,0.162464985994398,"TCGA-A8-A08G"
"T",759,0.00759303721488595,"TCGA-A8-A08G"
"unassigned",213,0.00213085234093637,"TCGA-A8-A08G"
"B",1587,0.015877780112255,"TCGA-A8-A08P"
"DC_Mast",1553,0.015537613430581,"TCGA-A8-A08P"
"Macrophage",16544,0.165521105341617,"TCGA-A8-A08P"
"Malignant",48842,0.488659443127132,"TCGA-A8-A08P"
"Myoepi",2914,0.029154285599944,"TCGA-A8-A08P"
"Plasma",34,0.00034016668167402,"TCGA-A8-A08P"
"Stromal",22556,0.225670578583506,"TCGA-A8-A08P"
"T",5888,0.0589088653440186,"TCGA-A8-A08P"
"unassigned",33,0.000330161779271843,"TCGA-A8-A08P"
"B",110,0.00139654165502882,"TCGA-A8-A08S"
