"pred_type","gene","gene_set","model_id","cor_pearson","nrmse_sd","js_div","mi","ssim","auc_0"
"test","A2M","All Genes","DeepPT",0.22731318413992,1.23729155699257,0.258681054968411,0.0794482015674,0.145663780306861,0.641914137179393
"test","A2M","All Genes","DeepSpaCE",0.0625043326830521,1.09773684377967,0.240304099042245,0.0506538695080053,0.0461711382408609,0.568128050878265
"test","A2M","All Genes","GHIST",0.205145714037598,1.12846497199612,0.202424393566022,0.0736947061945021,0.196422689229653,0.61202839518496
"test","A2M","All Genes","GeneCodeR",0.133368403320573,1.22111366408064,0.275398685059605,0.0614905800802753,0.0643735951487475,0.595317810883375
"test","A2M","All Genes","HisToGene",0.145243602794785,1.07764298848399,0.189001683299091,0.0801476260665531,0.131271965586553,0.63314819019713
"test","A2M","All Genes","Hist2ST",0.181524312790317,1.03186720262327,0.186038828595867,0.0782189824748317,0.170845744140646,0.637995943391115
"test","A2M","All Genes","ST-Net",0.124241608715095,1.24256460192183,0.274086750170122,0.0881644732519325,0.095470195472624,0.594838884085957
"test","A2M","All Genes","THItoGene",0.148773600041935,1.0475899441877,0.188614975855172,0.0789775852040959,0.137991283485891,0.600659688581295
"test","A2M","All Genes","iStar",0.142382869988095,1.65357512400498,0.421547416047859,0.053325762464951,0.12944163454649,0.535663049143832
"test","AAMDC","All Genes","DeepPT",0.0344939866488564,1.19797422518603,0.712079828446777,0.0277510359610377,0.0139308240411509,0.530845168643924
"test","AAMDC","All Genes","DeepSpaCE",0.0191320689754425,1.02964758795417,0.727591356610077,0.0262011230928342,0.0082548904111312,0.560587759461523
"test","AAMDC","All Genes","GHIST",0.0918608267176649,1.08172491830467,0.65410866491953,0.0224349230259303,0.0422302573327031,0.564015022548455
"test","AAMDC","All Genes","GeneCodeR",0.0739455341561116,1.06038810470914,0.667456688462529,0.0269709576235251,0.0230340239786106,0.559992213005683
"test","AAMDC","All Genes","HisToGene",0.0814530507774651,1.06852996629714,0.659451778787019,0.0417574516253822,0.036626519145359,0.594638563267617
"test","AAMDC","All Genes","Hist2ST",0.0398113819241648,1.04373991046429,0.661655521095476,0.0428863142026026,0.0166007423891855,0.573750556646583
"test","AAMDC","All Genes","ST-Net",0.0434236161012009,1.13828020177183,0.67509644628476,0.0342024395041997,0.0170938320402333,0.554823127595114
"test","AAMDC","All Genes","THItoGene",0.0346591065132005,1.05423036745149,0.66425725731153,0.0399815802094919,0.0121633282951106,0.560136458838578
"test","AAMDC","All Genes","iStar",0.0105011741786169,1.50783704079627,0.760350179107887,0.0275982020712072,0.0228752050605889,0.555789700929035
"test","ABCA3","All Genes","DeepPT",0.0968794109895343,1.31982609176375,0.674320122986641,0.033498455538921,0.03284578371112,0.574400700826147
"test","ABCA3","All Genes","DeepSpaCE",0.0365167917861651,1.08254444518406,0.745939138334737,0.031645168545108,0.0180242883283967,0.591244358253948
"test","ABCA3","All Genes","GeneCodeR",0.076672054826082,1.05393650015788,0.670122821764793,0.032872108500681,0.0228129745571893,0.56902720653904
"test","ABCA3","All Genes","HisToGene",0.0766856031871128,1.04048824255365,0.669134181924601,0.0399907575885263,0.0304018357723477,0.594126112926156
"test","ABCA3","All Genes","Hist2ST",0.0831421287387069,1.09174537568706,0.666132278904528,0.0401516400710715,0.0306207626912897,0.603768974264469
"test","ABCA3","All Genes","ST-Net",0.0587248370616939,1.11055814068127,0.691513475174282,0.0355695484904998,0.0294367812566663,0.533738159338213
"test","ABCA3","All Genes","THItoGene",0.0447377594162809,1.13132444500087,0.680481707112474,0.0362123975229086,0.0116630012819167,0.56957977166232
"test","ABCA3","All Genes","iStar",0.0407247338265686,1.27039467550869,0.77594075416537,0.0259297172852259,0.057120319058045,0.577644111578787
"test","ABCA7","All Genes","DeepPT",0.0129124765138653,1.30274290998899,0.721297076153352,0.0273618799786357,0.0103586351013581,0.507995391940643
"test","ABCA7","All Genes","DeepSpaCE",0.0193832248055443,1.0169290896759,0.743430684709303,0.0240122547097847,0.00720074951000354,0.550776797542032
