"x","y","celltype","model"
1277.186,60.860466,"Malignant","ground truth"
7232.459,57.35294,"Stromal","ground truth"
211.84445,61.144444,"Macrophage","ground truth"
974.82654,61.704082,"Stromal","ground truth"
1250.3545,62.590908,"Malignant","ground truth"
1313.5596,59.857143,"Malignant","ground truth"
6120.125,55.710938,"T","ground truth"
6537.3335,56.913044,"Macrophage","ground truth"
787.4754,60.442623,"Malignant","ground truth"
1010.129,62.24731,"T","ground truth"
1439.6428,60.761906,"Malignant","ground truth"
6394.7026,64.04054,"B","ground truth"
889.2171,65.48026,"Malignant","ground truth"
1606.9417,64.816666,"Malignant","ground truth"
7159.545,64.57317,"Stromal","ground truth"
262.93332,61.6,"Malignant","ground truth"
1199.9412,62.89706,"Stromal","ground truth"
1292.8,62.7,"Malignant","ground truth"
1324.2041,63.60204,"Malignant","ground truth"
1457.9028,62.625,"Malignant","ground truth"
6715.8706,59.14029,"Macrophage","ground truth"
245.4375,64.479164,"Malignant","ground truth"
728.913,62.673912,"Malignant","ground truth"
1423.6823,65.915886,"Malignant","ground truth"
654.9889,67.066666,"Malignant","ground truth"
775.31915,65.74468,"Malignant","ground truth"
1397.4203,65,"Malignant","ground truth"
637.5407,68.70349,"Malignant","ground truth"
917.06946,65.958336,"Stromal","ground truth"
1378.386,66.03509,"Macrophage","ground truth"
1413.7654,67.72839,"Malignant","ground truth"
7152.7153,61.396553,"Stromal","ground truth"
224.01973,68.73684,"Malignant","ground truth"
272.59314,70.13725,"Malignant","ground truth"
604.7071,71.01674,"Malignant","ground truth"
832.85455,68.6,"Malignant","ground truth"
613.5217,71.61491,"Malignant","ground truth"
745.9483,69.06035,"Malignant","ground truth"
851.85364,67.256096,"Malignant","ground truth"
911.0164,68.86885,"Stromal","ground truth"
1185.2424,71.27273,"Stromal","ground truth"
1229.5476,65.666664,"Malignant","ground truth"
1287.0435,67.32609,"Malignant","ground truth"
1441.211,67.98889,"Malignant","ground truth"
716.85565,70.21649,"Malignant","ground truth"
1239.7064,69.073395,"Malignant","ground truth"
339.15167,73.98578,"Malignant","ground truth"
800.6023,68.920456,"Malignant","ground truth"
1299.9279,71.84536,"Malignant","ground truth"
879.8488,70.39535,"Malignant","ground truth"
1327.9404,70.89286,"Malignant","ground truth"
758.2375,73.558334,"Malignant","ground truth"
964.0179,71.42857,"Stromal","ground truth"
1219.4038,72.53846,"Malignant","ground truth"
1260.95,73.025,"Malignant","ground truth"
1278.674,72.891304,"Malignant","ground truth"
622.3777,73.047874,"Malignant","ground truth"
1111.8628,72.32353,"Macrophage","ground truth"
1310.2639,72.5,"Malignant","ground truth"
6579.47,74.15752,"Stromal","ground truth"
7333.062,75.746315,"Macrophage","ground truth"
644.0769,72.74359,"Malignant","ground truth"
773.1875,74.2375,"Malignant","ground truth"
848.5203,76.55285,"Malignant","ground truth"
1174.3464,75.91338,"Malignant","ground truth"
6651.3267,79.408165,"Stromal","ground truth"
304.09836,76.87978,"Malignant","ground truth"
318.7143,73.15873,"Malignant","ground truth"
811.2,76.327774,"Malignant","ground truth"
836.8276,73.33793,"Malignant","ground truth"
903.2213,75.98419,"Malignant","ground truth"
6409.98,73.24623,"Malignant","ground truth"
7141.5015,74.331345,"Stromal","ground truth"
7281.954,74.22519,"Stromal","ground truth"
1234.6323,76.161766,"Malignant","ground truth"
1357.7037,75.61729,"Malignant","ground truth"
729.73584,77.73585,"Malignant","ground truth"
878.9507,78.4574,"Malignant","ground truth"
1243.9636,76.545456,"Malignant","ground truth"
971.16,76.96,"Stromal","ground truth"
979.4138,77.586205,"Stromal","ground truth"
1026.1818,77.454544,"T","ground truth"
1127.5154,78.246155,"Stromal","ground truth"
1402.4,76.8,"T","ground truth"
789.06494,79.012985,"Malignant","ground truth"
1433.15,79.03,"Malignant","ground truth"
6059.7065,80.2477,"B","ground truth"
325.12173,79.752174,"Malignant","ground truth"
225.45454,81.19481,"T","ground truth"
252.53165,82.44304,"Malignant","ground truth"
347.89795,82.438774,"Malignant","ground truth"
607.74286,80.25714,"Malignant","ground truth"
746.7719,79.87719,"Malignant","ground truth"
1369.8334,82.458336,"Malignant","ground truth"
818.8461,81.53846,"Malignant","ground truth"
1169.2084,84.9375,"Malignant","ground truth"
5999.747,83.86813,"B","ground truth"
6410.799,82.90854,"Stromal","ground truth"
294.58865,85.75177,"Malignant","ground truth"
587.7857,85.35714,"Malignant","ground truth"
640.2761,83.64179,"Malignant","ground truth"
716.5614,83.22807,"Malignant","ground truth"
838.9054,83.14865,"Malignant","ground truth"
1146.2439,84.92683,"Stromal","ground truth"
1457.9888,83.26966,"Malignant","ground truth"
360.28018,83.06035,"Malignant","ground truth"
699.4722,84.02778,"Malignant","ground truth"
