"corr","gene","n","type","model","sample"
0,"KRT6B","top_20","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0,"ABCC11","top_20","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0.540006495636363,"ERBB2","top_20","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0.561488434553993,"TACSTD2","top_20","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0.55923801758525,"GATA3","top_20","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
-0.00151101056147906,"KRT14","top_20","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0,"KRT5","top_20","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0.601687286351366,"KRT7","top_20","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0.578199416721658,"ANKRD30A","top_20","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0.614288111138164,"MLPH","top_20","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0.312068780892298,"SERHL2","top_20","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0,"ADIPOQ","top_50","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0,"OPRPN","top_50","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0.610615165858945,"SCD","top_50","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0.595856539078201,"FASN","top_50","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0.298199639777955,"CEACAM6","top_50","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0.125347999976871,"AGR3","top_50","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0.599178613896378,"FOXA1","top_50","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0.0804077653501671,"KRT23","top_50","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0.590422734774009,"EPCAM","top_50","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0,"KRT6B","top_50","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0,"ABCC11","top_50","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0.540006495636363,"ERBB2","top_50","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0.561488434553993,"TACSTD2","top_50","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0.55923801758525,"GATA3","top_50","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
-0.00151101056147906,"KRT14","top_50","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0,"KRT5","top_50","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0.601687286351366,"KRT7","top_50","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0.578199416721658,"ANKRD30A","top_50","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0.614288111138164,"MLPH","top_50","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0.312068780892298,"SERHL2","top_50","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0,"ADH1B","top_50","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0.254373339957476,"SERPINA3","top_50","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0.578737931559986,"KRT8","top_50","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0.388387690771464,"CXCL12","top_50","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0.607667674213573,"PTPRC","top_50","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0.488284453127701,"CCDC80","top_50","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0.420806165058554,"MYO5B","top_50","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0.0392310814669772,"SFRP1","top_50","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0.179414080165029,"CDH1","top_50","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0.548012469748737,"CXCR4","top_50","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0,"S100A14","top_50","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0.51589795275445,"CD9","top_50","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0.366789491874826,"TFAP2A","top_50","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0.535337068991731,"CCND1","top_50","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0,"IL7R","top_50","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0.424325602025111,"AR","top_50","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0.0493513724220965,"PTGDS","top_50","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0.395582322333986,"POSTN","top_50","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0.428023267774775,"LYPD3","top_50","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0.401871142178693,"LUM","top_50","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0.233218755153277,"ESR1","top_50","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0.269530583274161,"MS4A1","top_50","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0.483696480932138,"DSP","top_50","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0.348536621529587,"SFRP4","top_50","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0,"MZB1","top_50","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0,"KLF5","top_50","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0,"MYH11","top_50","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0.39730002624717,"FBLN1","top_50","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0.532310975295168,"TRAC","top_50","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0,"PTN","top_50","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0,"ADIPOQ","top_20","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
-0.00069793052140173,"OPRPN","top_20","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
0.582887661482856,"SCD","top_20","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
0.573503343239043,"FASN","top_20","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
0,"CEACAM6","top_20","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
0.145513839169717,"AGR3","top_20","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
0.606311086943239,"FOXA1","top_20","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
0.0969532865918786,"KRT23","top_20","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
0.553947668328605,"EPCAM","top_20","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
0,"KRT6B","top_20","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
0.344269424433377,"ABCC11","top_20","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
0.350690790673982,"ERBB2","top_20","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
0.572325591992768,"TACSTD2","top_20","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
0.512544580467627,"GATA3","top_20","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
0,"KRT14","top_20","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
-0.0282351770057302,"KRT5","top_20","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
0.622510612860515,"KRT7","top_20","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
0.626363219276292,"ANKRD30A","top_20","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
0.624008134645422,"MLPH","top_20","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
0.288268986850855,"SERHL2","top_20","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
0,"ADIPOQ","top_50","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
-0.00069793052140173,"OPRPN","top_50","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
0.582887661482856,"SCD","top_50","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
0.573503343239043,"FASN","top_50","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
0,"CEACAM6","top_50","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
0.145513839169717,"AGR3","top_50","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
0.606311086943239,"FOXA1","top_50","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
0.0969532865918786,"KRT23","top_50","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
0.553947668328605,"EPCAM","top_50","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
0,"KRT6B","top_50","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
0.344269424433377,"ABCC11","top_50","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
0.350690790673982,"ERBB2","top_50","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
0.572325591992768,"TACSTD2","top_50","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
0.512544580467627,"GATA3","top_50","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
0,"KRT14","top_50","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
-0.0282351770057302,"KRT5","top_50","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
