"","corr","gene","n","type","model","sample"
"422",0.586910853379921,"MYBPC1","top_20","svg","OTSU","breast_sample2"
"423",0.73354777031051,"FOXA1","top_20","svg","OTSU","breast_sample2"
"424",0.0561474509234857,"OPRPN","top_20","svg","OTSU","breast_sample2"
"425",0.7705795169211,"SERHL2","top_20","svg","OTSU","breast_sample2"
"426",0.699598251668163,"FASN","top_20","svg","OTSU","breast_sample2"
"427",0.54438886038298,"MUC6","top_20","svg","OTSU","breast_sample2"
"428",0.728487584373151,"CDH1","top_20","svg","OTSU","breast_sample2"
"429",0.502730515107286,"MYH11","top_20","svg","OTSU","breast_sample2"
"430",0.703091826214301,"TACSTD2","top_20","svg","OTSU","breast_sample2"
"431",0.619758320643673,"TFAP2A","top_20","svg","OTSU","breast_sample2"
"432",0.688702107315752,"MLPH","top_20","svg","OTSU","breast_sample2"
"433",0.734453683567664,"EPCAM","top_20","svg","OTSU","breast_sample2"
"434",0.649978610082624,"LYPD3","top_20","svg","OTSU","breast_sample2"
"435",0.71610304597577,"KRT7","top_20","svg","OTSU","breast_sample2"
"436",0.66648778409022,"SCD","top_20","svg","OTSU","breast_sample2"
"437",0.375365246996871,"PIGR","top_20","svg","OTSU","breast_sample2"
"438",0.507000161355987,"KRT14","top_20","svg","OTSU","breast_sample2"
"439",0.569044912839684,"ANKRD30A","top_20","svg","OTSU","breast_sample2"
"440",0.470871899426822,"PTN","top_20","svg","OTSU","breast_sample2"
"461",0.756017491295842,"ABCC11","top_50","svg","OTSU","breast_sample2"
"462",0.586910853379921,"MYBPC1","top_50","svg","OTSU","breast_sample2"
"463",0.73354777031051,"FOXA1","top_50","svg","OTSU","breast_sample2"
"464",0.0561474509234857,"OPRPN","top_50","svg","OTSU","breast_sample2"
"465",0.7705795169211,"SERHL2","top_50","svg","OTSU","breast_sample2"
"466",0.699598251668163,"FASN","top_50","svg","OTSU","breast_sample2"
"467",0.54438886038298,"MUC6","top_50","svg","OTSU","breast_sample2"
"468",0.728487584373151,"CDH1","top_50","svg","OTSU","breast_sample2"
"469",0.502730515107286,"MYH11","top_50","svg","OTSU","breast_sample2"
"470",0.703091826214301,"TACSTD2","top_50","svg","OTSU","breast_sample2"
"471",0.619758320643673,"TFAP2A","top_50","svg","OTSU","breast_sample2"
"472",0.688702107315752,"MLPH","top_50","svg","OTSU","breast_sample2"
"473",0.734453683567664,"EPCAM","top_50","svg","OTSU","breast_sample2"
"474",0.649978610082624,"LYPD3","top_50","svg","OTSU","breast_sample2"
"475",0.71610304597577,"KRT7","top_50","svg","OTSU","breast_sample2"
"476",0.66648778409022,"SCD","top_50","svg","OTSU","breast_sample2"
"477",0.375365246996871,"PIGR","top_50","svg","OTSU","breast_sample2"
