"variable","value"
"T--EPCAM",0.0702763975413923
"T--EPCAM",0.0576312285665803
"T--EPCAM",0.113980175220295
"T--EPCAM",0.0930883699975931
"T--EPCAM",0.0719401509330306
"T--EPCAM",0.0641006129138889
"T--EPCAM",0.102142120198804
"T--EPCAM",0.0848456038069892
"T--EPCAM",0.0365434633333333
"T--EPCAM",0.0910946438819827
"T--EPCAM",0.0787863243390977
"T--EPCAM",0.0430612327731585
"T--EPCAM",0.0730531296737126
"T--EPCAM",0.116497251814912
"T--EPCAM",0.0993347768887417
"T--EPCAM",0.0866402741161353
"Macrophage--EPCAM",0.0466562417181286
"Macrophage--EPCAM",0.0661190179594638
"Macrophage--EPCAM",0.139052128840473
"Macrophage--EPCAM",0.0980345642224181
"Macrophage--EPCAM",0.0866927736014656
"Macrophage--EPCAM",0.069213442397935
"Macrophage--EPCAM",0.140755371841489
"Macrophage--EPCAM",0.111232157644044
"Macrophage--EPCAM",0.123254968159804
"Macrophage--EPCAM",0.0962111767793333
"Macrophage--EPCAM",0.0959408044650777
"Macrophage--EPCAM",0.0956779678320759
"Macrophage--EPCAM",0.0601537349216711
"Macrophage--EPCAM",0.0542836448672845
"Macrophage--EPCAM",0.0752514211569491
"Macrophage--EPCAM",0.118956836763661
"Macrophage--EPCAM",0.169233048892737
"Macrophage--EPCAM",0.0684052959279487
"Macrophage--EPCAM",0.0659078406123069
"Macrophage--EPCAM",0.0767965403527463
"Macrophage--EPCAM",0.0963599454765397
"Macrophage--EPCAM",0.101630140301466
"Macrophage--EPCAM",0.0840892864349008
"Macrophage--EPCAM",0.0355605642495533
"Macrophage--EPCAM",0.0861327261938589
"Macrophage--EPCAM",0.0429625002551163
"Macrophage--EPCAM",0.0795032215365929
"Macrophage--EPCAM",0.0409530696341762
"Macrophage--EPCAM",0.143084011743023
"Macrophage--EPCAM",0.135081919973588
"Macrophage--EPCAM",0.0906529494652003
"Macrophage--EPCAM",0.0838011092851157
"Macrophage--EPCAM",0.13977953011494
"Macrophage--EPCAM",0.146083714812499
"Macrophage--EPCAM",0.151748200266275
"Macrophage--EPCAM",0.138506051318713
"Macrophage--EPCAM",0.12335037839881
"Macrophage--EPCAM",0.126667715391973
"Macrophage--EPCAM",0.146683751146135
"Macrophage--EPCAM",0.163433029513691
"Macrophage--EPCAM",0.175130639722446
"Macrophage--EPCAM",0.14666735565625
"Macrophage--EPCAM",0.113874331759284
"Macrophage--EPCAM",0.0932083250130126
"Macrophage--EPCAM",0.125998257387284
"Macrophage--EPCAM",0.0711291473206482
"Macrophage--EPCAM",0.181367425898701
"Macrophage--EPCAM",0.114875948153015
"Macrophage--EPCAM",0.0829778967177016
"Macrophage--EPCAM",0.111110821958483
"Macrophage--EPCAM",0.109295051301283
"Macrophage--EPCAM",0.135298905742233
"Macrophage--EPCAM",0.182028901114483
"Macrophage--EPCAM",0.113357867407002
"Macrophage--EPCAM",0.124789709737736
"Macrophage--EPCAM",0.0905220312363302
"Macrophage--EPCAM",0.141646104815833
"Macrophage--EPCAM",0.0995149162546223
"Macrophage--EPCAM",0.132596709473702
"Macrophage--EPCAM",0.0893263868795014
"Macrophage--EPCAM",0.136936928920917
"Macrophage--EPCAM",0.103687568591811
"Macrophage--EPCAM",0.103594352337261
"Macrophage--EPCAM",0.210114812848431
"Macrophage--EPCAM",0.0991086402932051
"Macrophage--EPCAM",0.150105493949417
"Macrophage--EPCAM",0.125803003235103
"Macrophage--EPCAM",0.141578906952083
"Macrophage--EPCAM",0.0925089250454892
"Macrophage--EPCAM",0.104546187179333
"Macrophage--EPCAM",0.238091471475045
"Macrophage--EPCAM",0.184698257390043
"Macrophage--EPCAM",0.150562228190962
"Macrophage--EPCAM",0.234563002945097
"Macrophage--EPCAM",0.214662698283709
"Macrophage--EPCAM",0.207922491525592
"Macrophage--EPCAM",0.164421113241401
"Macrophage--EPCAM",0.119924147131667
"Macrophage--EPCAM",0.201516387470875
"Macrophage--EPCAM",0.202431301136458
"Macrophage--EPCAM",0.168770159077252
"Macrophage--EPCAM",0.091215130461479
"Macrophage--EPCAM",0.145185779262178
"Macrophage--EPCAM",0.0986922537004938
"Macrophage--EPCAM",0.0675942201726191
"Macrophage--EPCAM",0.19074979071257
"Macrophage--EPCAM",0.0971538571696017
"Macrophage--EPCAM",0.0842839028859316
"Macrophage--EPCAM",0.0944943073529184
"Macrophage--EPCAM",0.156789140393653
"Macrophage--EPCAM",0.134709437287891
"Macrophage--EPCAM",0.136078306163384
"Myoepi--EPCAM",0.345352853119832
"Myoepi--EPCAM",0.261396603316035
"Myoepi--EPCAM",0.349931223767431
"Myoepi--EPCAM",0.306036916507465
"Myoepi--EPCAM",0.356532970847776
"Myoepi--EPCAM",0.301995913720774
"Myoepi--EPCAM",0.423169595337398
"Myoepi--EPCAM",0.413191888893569
"Myoepi--EPCAM",0.325522129279955
"Myoepi--EPCAM",0.315369378685714
"Myoepi--EPCAM",0.347897762967094
"Myoepi--EPCAM",0.412764796849802
"Myoepi--EPCAM",0.458471911117647
"Myoepi--EPCAM",0.468530623826509
"Myoepi--EPCAM",0.448075908869955
"Myoepi--EPCAM",0.576747530611111
"Myoepi--EPCAM",0.511738506872593
"Myoepi--EPCAM",0.465383375564368
"Myoepi--EPCAM",0.562091137056322
"Myoepi--EPCAM",0.44850687142455
"Myoepi--EPCAM",0.462899397359933
"Myoepi--EPCAM",0.460918028872294
"Myoepi--EPCAM",0.508649560881338
"Myoepi--EPCAM",0.429103454130429
"Myoepi--EPCAM",0.500492932281385
"Myoepi--EPCAM",0.432895898135168
"Myoepi--EPCAM",0.479557781497406
"Myoepi--EPCAM",0.423375221885886
"Myoepi--EPCAM",0.517792086159661
"Myoepi--EPCAM",0.389074213858457
"Myoepi--EPCAM",0.331715869218519
"Myoepi--EPCAM",0.344619461392747
"Myoepi--EPCAM",0.348309032603504
"Myoepi--EPCAM",0.506055795777612
"Myoepi--EPCAM",0.353004715245241
"Myoepi--EPCAM",0.376441347573626
"Myoepi--EPCAM",0.33918800190907
"Myoepi--EPCAM",0.408989238558852
"Myoepi--EPCAM",0.361989406264242
"Myoepi--EPCAM",0.480575136184688
"Myoepi--EPCAM",0.504889958705948
"Myoepi--EPCAM",0.473109611225464
"Myoepi--EPCAM",0.280924918015041
"Myoepi--EPCAM",0.341763625481171
"Myoepi--EPCAM",0.47434021928254
"Myoepi--EPCAM",0.356230465788082
"Myoepi--EPCAM",0.455215220552978
"Myoepi--EPCAM",0.515217636698039
"Myoepi--EPCAM",0.320820958004324
"Myoepi--EPCAM",0.32178369075161
"Myoepi--EPCAM",0.391143273187628
"Myoepi--EPCAM",0.334593860170981
"Myoepi--EPCAM",0.450857917782475
"Myoepi--EPCAM",0.30332408380297
"Myoepi--EPCAM",0.315647888627733
"Myoepi--EPCAM",0.261875540188794
"Myoepi--EPCAM",0.337404930305381
"Myoepi--EPCAM",0.24756874176029
"Myoepi--EPCAM",0.352629632726203
"Myoepi--EPCAM",0.296923611033161
"Myoepi--EPCAM",0.37856123441661
"Myoepi--EPCAM",0.377527203518078
"Myoepi--EPCAM",0.375363803321048
"Myoepi--EPCAM",0.673589667168362
"Myoepi--EPCAM",0.346266923380211
"Myoepi--EPCAM",0.417231484049742
"Myoepi--EPCAM",0.450837228388458
"Myoepi--EPCAM",0.508218494426888
"Myoepi--EPCAM",0.272587075023592
"Myoepi--EPCAM",0.342692891115641
"Myoepi--EPCAM",0.547342122990991
"Myoepi--EPCAM",0.547786694249476
"Myoepi--EPCAM",0.469492164452941
"Myoepi--EPCAM",0.495711698692667
"Myoepi--EPCAM",0.513219049129808
"Myoepi--EPCAM",0.5570478134191
"Myoepi--EPCAM",0.541904463543411
"Myoepi--EPCAM",0.41541143475
"Myoepi--EPCAM",0.661596343811189
"Myoepi--EPCAM",0.46580709852089
"Myoepi--EPCAM",0.459640154933479
"Myoepi--EPCAM",0.371294950995161
"Myoepi--EPCAM",0.433573599524403
"Myoepi--EPCAM",0.391068822216931
"Myoepi--EPCAM",0.26591326062728
"Myoepi--EPCAM",0.459436474833627
"Myoepi--EPCAM",0.410387060477542
"Myoepi--EPCAM",0.331558619347278
"Myoepi--EPCAM",0.394282041626866
"Myoepi--EPCAM",0.407421459808144
"Myoepi--EPCAM",0.319814705494501
"Myoepi--EPCAM",0.368337389078274
"Stromal--EPCAM",0.107418082443951
"Stromal--EPCAM",0.100981158440451
"Stromal--EPCAM",0.197511317080626
"Stromal--EPCAM",0.135067546054623
"Stromal--EPCAM",0.186657780414162
"Stromal--EPCAM",0.112773565903802
"Stromal--EPCAM",0.221286273902453
"Stromal--EPCAM",0.207823830996587
"Stromal--EPCAM",0.19217790765803
"Stromal--EPCAM",0.1326774738732
"Stromal--EPCAM",0.173202862064105
"Stromal--EPCAM",0.227298417687683
"Stromal--EPCAM",0.235962697357025
"Stromal--EPCAM",0.194890704111967
"Stromal--EPCAM",0.219829832095825
"Stromal--EPCAM",0.281153864607613
"Stromal--EPCAM",0.236446172003948
"Stromal--EPCAM",0.246261005878519
"Stromal--EPCAM",0.207658168963104
"Stromal--EPCAM",0.2142698965852
"Stromal--EPCAM",0.29854418377742
"Stromal--EPCAM",0.241722829895055
"Stromal--EPCAM",0.17625783748844
"Stromal--EPCAM",0.167966032719523
"Stromal--EPCAM",0.255155426657941
"Stromal--EPCAM",0.228435542953766
"Stromal--EPCAM",0.188767360814705
"Stromal--EPCAM",0.186307042784387
"Stromal--EPCAM",0.251607245866658
"Stromal--EPCAM",0.216731988353301
"Stromal--EPCAM",0.12826117366231
"Stromal--EPCAM",0.150662354422247
"Stromal--EPCAM",0.188248894572959
"Stromal--EPCAM",0.27450225230305
"Stromal--EPCAM",0.183019088084766
"Stromal--EPCAM",0.170363822377853
"Stromal--EPCAM",0.158873478771626
"Stromal--EPCAM",0.191083312788909
"Stromal--EPCAM",0.179844007838364
"Stromal--EPCAM",0.270404698280335
"Stromal--EPCAM",0.312885014863211
"Stromal--EPCAM",0.266920650632189
"Stromal--EPCAM",0.160155754214452
"Stromal--EPCAM",0.159382007383943
"Stromal--EPCAM",0.208285305597684
"Stromal--EPCAM",0.138615761436324
"Stromal--EPCAM",0.228498942426386
"Stromal--EPCAM",0.101879971755231
"Stromal--EPCAM",0.157265661460126
"Stromal--EPCAM",0.16375910737062
"Stromal--EPCAM",0.162829930434187
"Stromal--EPCAM",0.146861922219132
"Stromal--EPCAM",0.248058884474698
"Stromal--EPCAM",0.163440041653915
"Stromal--EPCAM",0.150744217952387
"Stromal--EPCAM",0.114422908920115
"Stromal--EPCAM",0.185362596670513
"Stromal--EPCAM",0.121675677380456
"Stromal--EPCAM",0.210645868843125
"Stromal--EPCAM",0.147353970741363
"Stromal--EPCAM",0.193617720159906
"Stromal--EPCAM",0.142802766103112
"Stromal--EPCAM",0.184147962534762
"Stromal--EPCAM",0.303925910634975
"Stromal--EPCAM",0.186883837529247
"Stromal--EPCAM",0.231340221182151
"Stromal--EPCAM",0.213289273901311
"Stromal--EPCAM",0.21656380456083
"Stromal--EPCAM",0.128894921895996
"Stromal--EPCAM",0.224757326150465
"Stromal--EPCAM",0.387901182421475
"Stromal--EPCAM",0.350981578649269
"Stromal--EPCAM",0.247389765402292
"Stromal--EPCAM",0.285121902208809
"Stromal--EPCAM",0.326113551181336
"Stromal--EPCAM",0.313755728113715
"Stromal--EPCAM",0.377285461403847
"Stromal--EPCAM",0.20615364684237
"Stromal--EPCAM",0.380054800650077
"Stromal--EPCAM",0.242021858787363
"Stromal--EPCAM",0.265600710253174
"Stromal--EPCAM",0.147485992715903
"Stromal--EPCAM",0.222731306961959
"Stromal--EPCAM",0.201693577499229
"Stromal--EPCAM",0.1151204156102
"Stromal--EPCAM",0.234149876905168
"Stromal--EPCAM",0.231053965157038
"Stromal--EPCAM",0.119174489840706
"Stromal--EPCAM",0.108030328780956
"Stromal--EPCAM",0.235727248271487
"Stromal--EPCAM",0.173075975736947
"Stromal--EPCAM",0.210409905879434
"Myeloid--EPCAM",0.0173838977328571
"Myeloid--EPCAM",0.0357536376018519
"Myeloid--EPCAM",0.0537584916295679
"Myeloid--EPCAM",0.0310107830491667
"Myeloid--EPCAM",0.0373351182986081
"Myeloid--EPCAM",0.0326890907270089
"Myeloid--EPCAM",0.0527200276787879
"Myeloid--EPCAM",0.0507175276666667
"Myeloid--EPCAM",0.0763331306113821
"Myeloid--EPCAM",0.0424768434664634
"Myeloid--EPCAM",0.0384447164509333
"Myeloid--EPCAM",0.107909781454545
"Myeloid--EPCAM",0.000502481566666667
"Myeloid--EPCAM",NA
"Myeloid--EPCAM",0.0324736466148148
"Myeloid--EPCAM",0.0293142253333333
"Myeloid--EPCAM",0.0727822008547826
"Myeloid--EPCAM",0.0607900063888889
"Myeloid--EPCAM",0.0944034777363636
"Myeloid--EPCAM",0.0259177768360833
"Myeloid--EPCAM",0.0356865758925926
"Myeloid--EPCAM",0.115177845958333
"Myeloid--EPCAM",0.0557576113184014
"Myeloid--EPCAM",0.0388278772403509
"Myeloid--EPCAM",0.0805823025735632
"Myeloid--EPCAM",0.0405984183650228
"Myeloid--EPCAM",0.061348107329494
"Myeloid--EPCAM",0.0886304871074074
"Myeloid--EPCAM",NA
"Myeloid--EPCAM",0.0753997016755556
"Myeloid--EPCAM",0.0436452038673958
"Myeloid--EPCAM",0.03175774611625
"Myeloid--EPCAM",0.05912424235
"Myeloid--EPCAM",0.0899558780884354
"Myeloid--EPCAM",0.0376864705555556
"Myeloid--EPCAM",0.0819155129166667
"Myeloid--EPCAM",0.0637291236222222
"Myeloid--EPCAM",0.07176195
"Myeloid--EPCAM",0.108805096672549
"Myeloid--EPCAM",0.0330846175833333
"Myeloid--EPCAM",0.0845074204383333
"Myeloid--EPCAM",0.0611594340277778
"Myeloid--EPCAM",0.0421414769613016
"Myeloid--EPCAM",0.0569175329284946
"Myeloid--EPCAM",0.0353557577619048
"Myeloid--EPCAM",0.0392967028888889
"Myeloid--EPCAM",0.0542409664318841
"Myeloid--EPCAM",0.0433533356009499
"Myeloid--EPCAM",0.0372503311740513
"Myeloid--EPCAM",0.0431870465807018
"Myeloid--EPCAM",0.0761267894277778
"Myeloid--EPCAM",0.0543171186882353
"Myeloid--EPCAM",0.100151386345578
"Myeloid--EPCAM",0.0620570472958387
"Myeloid--EPCAM",0.0104833671111111
"Myeloid--EPCAM",0.0312424737269504
"Myeloid--EPCAM",0.0813974880367924
"Myeloid--EPCAM",0.0424053921927928
"Myeloid--EPCAM",0.0580778611950355
"Myeloid--EPCAM",0.0373281940653595
"Myeloid--EPCAM",0.0591144597131746
"Myeloid--EPCAM",0.0807882671407407
"Myeloid--EPCAM",0.0866946248259259
"Myeloid--EPCAM",0.0561582639115385
"Myeloid--EPCAM",0.0311177268203704
"Myeloid--EPCAM",0.104526686648148
"Myeloid--EPCAM",0.0548474405163725
"Myeloid--EPCAM",0.0735663197204255
"Myeloid--EPCAM",0.0306742038720657
"Myeloid--EPCAM",0.0595188311015152
"Myeloid--EPCAM",0.0625536907252252
"Myeloid--EPCAM",0.0220255180166667
"Myeloid--EPCAM",0.0745013318075269
"Myeloid--EPCAM",0.0747410602949789
"Myeloid--EPCAM",0.063030490625
"Myeloid--EPCAM",0.0717271385909091
"Myeloid--EPCAM",0.048851320556746
"Myeloid--EPCAM",0.0387247509253439
"Myeloid--EPCAM",0.0583574819492381
"Myeloid--EPCAM",0.0917792743320755
"Myeloid--EPCAM",0.0778788765257971
"Myeloid--EPCAM",0.0410793253125
"Myeloid--EPCAM",0.0464261897
"Myeloid--EPCAM",0.0961125302904762
"Myeloid--EPCAM",0.0442147171333333
"Myeloid--EPCAM",0.112363219764583
"Myeloid--EPCAM",0.0281563265208333
"Myeloid--EPCAM",0.0474328642187619
"Myeloid--EPCAM",0.0389758113112739
"Myeloid--EPCAM",0.0520589449166667
"Myeloid--EPCAM",0.0373629325564103
"Myeloid--EPCAM",0.0635479658481481
"B--EPCAM",0.0115132082888889
"B--EPCAM",0.0188658812785714
"B--EPCAM",0.0181700215083333
"B--EPCAM",0.0229147108833333
"B--EPCAM",0.0145887384270833
"B--EPCAM",0.0186111406996154
"B--EPCAM",0.0216808536916667
"B--EPCAM",0.0573791307777778
"B--EPCAM",0.0462329436058025
"B--EPCAM",0.0358556275755556
"B--EPCAM",0.0290551388939394
"B--EPCAM",0.0115384953166667
"B--EPCAM",0.0776605689666667
"B--EPCAM",NA
"B--EPCAM",0.0172119720833333
"B--EPCAM",NA
"B--EPCAM",0.0336011183958333
"B--EPCAM",NA
"B--EPCAM",0.0176144446296296
"B--EPCAM",0.0183919263130631
"B--EPCAM",0.0020445317
"B--EPCAM",0.0131246076666667
"B--EPCAM",0.0287296938548387
"B--EPCAM",0.0115600455333333
"B--EPCAM",0.0474121763
"B--EPCAM",0.0147851916194444
"B--EPCAM",0.0148849633344444
"B--EPCAM",0.0262593666666667
"B--EPCAM",NA
"B--EPCAM",0.0593209429666667
"B--EPCAM",0.103464399821333
"B--EPCAM",0.0288336927833333
