"","corr","gene","n","type","model","sample"
"89",0.450946667364284,"MZB1","top_50","svg","model74","breast_sample1"
"90",0.442553676772697,"KLF5","top_50","svg","model74","breast_sample1"
"91",0.0255698836431952,"C2orf42","bottom_50","svg","model74","breast_sample1"
"92",0.133763916139486,"LILRA4","bottom_50","svg","model74","breast_sample1"
"93",0.175591419732534,"APOBEC3B","bottom_50","svg","model74","breast_sample1"
"94",0.0525750648774789,"GNLY","bottom_50","svg","model74","breast_sample1"
"95",0.0555104180942673,"CX3CR1","bottom_50","svg","model74","breast_sample1"
"96",0.0227942983875904,"LY86","bottom_50","svg","model74","breast_sample1"
"97",0.214428503910102,"TYROBP","bottom_50","svg","model74","breast_sample1"
"98",0.0402108420670333,"LAG3","bottom_50","svg","model74","breast_sample1"
"99",0.0704987078232451,"TUBA4A","bottom_50","svg","model74","breast_sample1"
"100",0.00872574122464956,"GZMK","bottom_50","svg","model74","breast_sample1"
"101",0.0820765334254235,"CLECL1","bottom_50","svg","model74","breast_sample1"
"102",0.128936059335685,"TRAPPC3","bottom_50","svg","model74","breast_sample1"
"103",0.285521724292873,"KLRC1","bottom_50","svg","model74","breast_sample1"
"104",-0.00387839087810001,"LIF","bottom_50","svg","model74","breast_sample1"
"105",0.105265169629163,"CD83","bottom_50","svg","model74","breast_sample1"
"106",0.0239428694569375,"CD80","bottom_50","svg","model74","breast_sample1"
"107",0.246174663914752,"PRF1","bottom_50","svg","model74","breast_sample1"
"108",0.378787498717013,"HOXD9","bottom_50","svg","model74","breast_sample1"
"109",NA,"CLIC6","bottom_50","svg","model74","breast_sample1"
"110",0.166863816102613,"DUSP2","bottom_50","svg","model74","breast_sample1"
"111",0.257074861346106,"LARS","bottom_50","svg","model74","breast_sample1"
"112",-0.000542994506814832,"PDCD1LG2","bottom_50","svg","model74","breast_sample1"
"113",-0.000354919556785256,"MYBPC1","bottom_50","svg","model74","breast_sample1"
"114",0.00645594945281202,"REXO4","bottom_50","svg","model74","breast_sample1"
"115",NA,"CXCL5","bottom_50","svg","model74","breast_sample1"
"116",0.0886160220044744,"WARS","bottom_50","svg","model74","breast_sample1"
"117",NA,"NCAM1","bottom_50","svg","model74","breast_sample1"
"118",NA,"DNAAF1","bottom_50","svg","model74","breast_sample1"
"119",-0.000548367354545934,"CTH","bottom_50","svg","model74","breast_sample1"
"120",-0.000337126384619479,"SSTR2","bottom_50","svg","model74","breast_sample1"
"121",0.0658339540077395,"TIFA","bottom_50","svg","model74","breast_sample1"
"122",NA,"CCL20","bottom_50","svg","model74","breast_sample1"
"123",0.0173960403566011,"FOXP3","bottom_50","svg","model74","breast_sample1"
"124",0.0276915882326589,"CD274","bottom_50","svg","model74","breast_sample1"
"125",0.061167061584749,"PLD4","bottom_50","svg","model74","breast_sample1"
"126",-0.000757026450418941,"MUC6","bottom_50","svg","model74","breast_sample1"
"127",0.0466569309593025,"SOX18","bottom_50","svg","model74","breast_sample1"
"128",NA,"SNAI1","bottom_50","svg","model74","breast_sample1"
"129",0.28400925338861,"HAVCR2","bottom_50","svg","model74","breast_sample1"
"130",0.00519719562341287,"CLEC9A","bottom_50","svg","model74","breast_sample1"
"131",-0.00788962513645232,"TCF15","bottom_50","svg","model74","breast_sample1"
"132",NA,"SLC4A1","bottom_50","svg","model74","breast_sample1"
"133",-0.000737552004660692,"APOBEC3A","bottom_50","svg","model74","breast_sample1"
"134",-0.00183241167801187,"NDUFA4L2","bottom_50","svg","model74","breast_sample1"
"135",-0.000154253032344419,"AHSP","bottom_50","svg","model74","breast_sample1"
"136",NA,"CRHBP","bottom_50","svg","model74","breast_sample1"
"137",-0.00125881084562606,"CSF3","bottom_50","svg","model74","breast_sample1"
"138",0.000170090854402523,"CYP1A1","bottom_50","svg","model74","breast_sample1"
"139",0.0275993088427477,"PDCD1","bottom_50","svg","model74","breast_sample1"
"140",NA,"UCP1","bottom_50","svg","model74","breast_sample1"
"141",0.794218371734951,"ABCC11","top_20","svg","predicted80","breast_sample2"
"142",0.623129993652039,"MYBPC1","top_20","svg","predicted80","breast_sample2"
"143",0.777672055159374,"FOXA1","top_20","svg","predicted80","breast_sample2"
"144",0.0839449169350095,"OPRPN","top_20","svg","predicted80","breast_sample2"
"145",0.807658839663666,"SERHL2","top_20","svg","predicted80","breast_sample2"
"146",0.747675426670839,"FASN","top_20","svg","predicted80","breast_sample2"
"147",0.575017402884655,"MUC6","top_20","svg","predicted80","breast_sample2"
"148",0.767490439637515,"CDH1","top_20","svg","predicted80","breast_sample2"
"149",0.491627851717201,"MYH11","top_20","svg","predicted80","breast_sample2"
"150",0.734470773643864,"TACSTD2","top_20","svg","predicted80","breast_sample2"
"151",0.665125849989452,"TFAP2A","top_20","svg","predicted80","breast_sample2"
"152",0.738367711644369,"MLPH","top_20","svg","predicted80","breast_sample2"
"153",0.773230777646976,"EPCAM","top_20","svg","predicted80","breast_sample2"
"154",0.688855315207251,"LYPD3","top_20","svg","predicted80","breast_sample2"
"155",0.754568157084517,"KRT7","top_20","svg","predicted80","breast_sample2"
"156",0.704552252843703,"SCD","top_20","svg","predicted80","breast_sample2"
"157",0.368827031923389,"PIGR","top_20","svg","predicted80","breast_sample2"
"158",0.49705595622825,"KRT14","top_20","svg","predicted80","breast_sample2"
"159",0.60980010707047,"ANKRD30A","top_20","svg","predicted80","breast_sample2"
"160",0.461116432473278,"PTN","top_20","svg","predicted80","breast_sample2"
"161",-0.000828288806478593,"TAC1","bottom_20","svg","predicted80","breast_sample2"
"162",NA,"UCP1","bottom_20","svg","predicted80","breast_sample2"
"163",0.127916080076399,"RTKN2","bottom_20","svg","predicted80","breast_sample2"
"164",NA,"CEACAM8","bottom_20","svg","predicted80","breast_sample2"
"165",0.0742525147598713,"LAG3","bottom_20","svg","predicted80","breast_sample2"
"166",0.12992387984581,"SOX18","bottom_20","svg","predicted80","breast_sample2"
"167",-0.000490621380784872,"FOXC2","bottom_20","svg","predicted80","breast_sample2"
"168",0.0159614107027639,"CLECL1","bottom_20","svg","predicted80","breast_sample2"
"169",-0.00545874554808722,"TCEAL7","bottom_20","svg","predicted80","breast_sample2"
"170",0.111666354817868,"FAM49A","bottom_20","svg","predicted80","breast_sample2"
"171",0.116770994147794,"KLRC1","bottom_20","svg","predicted80","breast_sample2"
"172",0.0538879832990162,"LY86","bottom_20","svg","predicted80","breast_sample2"
"173",0.00479333055061147,"CD80","bottom_20","svg","predicted80","breast_sample2"
"174",0.132227458810867,"PDCD1LG2","bottom_20","svg","predicted80","breast_sample2"
"175",0.131253122964815,"KLRD1","bottom_20","svg","predicted80","breast_sample2"
"176",0.00896350627153886,"NCAM1","bottom_20","svg","predicted80","breast_sample2"
"177",-0.00169956928465357,"SSTR2","bottom_20","svg","predicted80","breast_sample2"
"178",0.000343079101771136,"PDCD1","bottom_20","svg","predicted80","breast_sample2"
"179",NA,"MMP12","bottom_20","svg","predicted80","breast_sample2"
"180",-0.0022499817305547,"CXCL5","bottom_20","svg","predicted80","breast_sample2"
"181",0.794218371734951,"ABCC11","top_50","svg","predicted80","breast_sample2"
"182",0.623129993652039,"MYBPC1","top_50","svg","predicted80","breast_sample2"
"183",0.777672055159374,"FOXA1","top_50","svg","predicted80","breast_sample2"
"184",0.0839449169350095,"OPRPN","top_50","svg","predicted80","breast_sample2"
"185",0.807658839663666,"SERHL2","top_50","svg","predicted80","breast_sample2"
"186",0.747675426670839,"FASN","top_50","svg","predicted80","breast_sample2"
"187",0.575017402884655,"MUC6","top_50","svg","predicted80","breast_sample2"
"188",0.767490439637515,"CDH1","top_50","svg","predicted80","breast_sample2"
"189",0.491627851717201,"MYH11","top_50","svg","predicted80","breast_sample2"
"190",0.734470773643864,"TACSTD2","top_50","svg","predicted80","breast_sample2"
"191",0.665125849989452,"TFAP2A","top_50","svg","predicted80","breast_sample2"
"192",0.738367711644369,"MLPH","top_50","svg","predicted80","breast_sample2"
"193",0.773230777646976,"EPCAM","top_50","svg","predicted80","breast_sample2"
"194",0.688855315207251,"LYPD3","top_50","svg","predicted80","breast_sample2"
"195",0.754568157084517,"KRT7","top_50","svg","predicted80","breast_sample2"
"196",0.704552252843703,"SCD","top_50","svg","predicted80","breast_sample2"
"197",0.368827031923389,"PIGR","top_50","svg","predicted80","breast_sample2"
"198",0.49705595622825,"KRT14","top_50","svg","predicted80","breast_sample2"
"199",0.60980010707047,"ANKRD30A","top_50","svg","predicted80","breast_sample2"
"200",0.461116432473278,"PTN","top_50","svg","predicted80","breast_sample2"
"201",0.36024891975093,"S100A8","top_50","svg","predicted80","breast_sample2"
"202",0.673282152168792,"DSP","top_50","svg","predicted80","breast_sample2"
"203",0.5071791002757,"POSTN","top_50","svg","predicted80","breast_sample2"
"204",0.515008955528751,"KRT5","top_50","svg","predicted80","breast_sample2"
"205",0.655179419545913,"AR","top_50","svg","predicted80","breast_sample2"
"206",0.335482473069161,"CEACAM6","top_50","svg","predicted80","breast_sample2"
"207",0.475028358213599,"SERPINA3","top_50","svg","predicted80","breast_sample2"
"208",0.435492019664639,"ESR1","top_50","svg","predicted80","breast_sample2"
"209",0.469810620690276,"SFRP1","top_50","svg","predicted80","breast_sample2"
"210",0.681532404434095,"JUP","top_50","svg","predicted80","breast_sample2"
"211",0.73587483863433,"CD9","top_50","svg","predicted80","breast_sample2"
"212",0.113467236246428,"MMP1","top_50","svg","predicted80","breast_sample2"
"213",0.804146341271471,"ERBB2","top_50","svg","predicted80","breast_sample2"
"214",0.42692821381857,"AKR1C1","top_50","svg","predicted80","breast_sample2"
"215",0.53235798370892,"ALDH1A3","top_50","svg","predicted80","breast_sample2"
"216",0.636044118923588,"TRAF4","top_50","svg","predicted80","breast_sample2"
"217",0.407597689836515,"TOP2A","top_50","svg","predicted80","breast_sample2"
"218",0.572107272683772,"AQP3","top_50","svg","predicted80","breast_sample2"
"219",0.608549304562074,"DSC2","top_50","svg","predicted80","breast_sample2"
"220",0.594080614907638,"SLC5A6","top_50","svg","predicted80","breast_sample2"
"221",0.55771395037495,"SQLE","top_50","svg","predicted80","breast_sample2"
"222",0.304642314204989,"KRT23","top_50","svg","predicted80","breast_sample2"
"223",0.755667322111576,"TPD52","top_50","svg","predicted80","breast_sample2"
"224",0.481839269085172,"SDC4","top_50","svg","predicted80","breast_sample2"
"225",0.251824062636126,"SFRP4","top_50","svg","predicted80","breast_sample2"
"226",0.589376847195284,"RUNX1","top_50","svg","predicted80","breast_sample2"
"227",0.632133746637782,"MDM2","top_50","svg","predicted80","breast_sample2"
"228",0.657077189866092,"ENAH","top_50","svg","predicted80","breast_sample2"
"229",0.720969670047537,"KRT8","top_50","svg","predicted80","breast_sample2"
"230",0.372471373401662,"LYZ","top_50","svg","predicted80","breast_sample2"
"231",0.168297230696483,"TUBB2B","bottom_50","svg","predicted80","breast_sample2"
"232",0.0133830038785525,"TPSAB1","bottom_50","svg","predicted80","breast_sample2"
"233",0.180482877453529,"CXCL16","bottom_50","svg","predicted80","breast_sample2"
