"","x_cord","y_cord","gene"
"Cell_3177",20.827587,156.82759,3.5972947372706
"Cell_3202",29.152174,159.36957,3.58399871874742
"Cell_3256",601.7308,159.11058,3.74258150534096
"Cell_3255",194.7922,162.2987,2.73839672605368
"Cell_3203",443.19446,160.29167,1.50964144287131
"Cell_3302",24.283333,164.9,4.33030724572936
"Cell_3280",280.60345,162.22414,2.91884030647318
"Cell_3281",355.451,162.31372,2.76240322150559
"Cell_3303",57.203884,167.26213,3.30673599928509
"Cell_3327",625.75,162.875,3.55137930155098
"Cell_3325",306.6154,165.38461,3.84426579598007
"Cell_3282",409.65494,163.4377,1.28874195102455
"Cell_3229",254.91925,162.7764,3.03182567202512
"Cell_3326",321.2449,164.43878,2.43799707147919
"Cell_3351",51.836735,165.48979,1.93299015182092
"Cell_3353",296.47562,167.10976,4.27964387235086
"Cell_3369",261.19745,168.92357,3.72763061733796
"Cell_3352",81.14445,168.13333,2.28404549613699
"Cell_3395",585.0351,168.1579,0
"Cell_3396",620.43567,167.81187,3.59608001156516
"Cell_3419",350.33334,170.53206,1.2658729191317
"Cell_3447",275.0707,170.70708,3.91168267901824
"Cell_3393",189,167.45946,3.80030442177485
"Cell_3446",225.65517,174.36781,3.28666749371776
"Cell_3465",284.41666,170.23334,3.02461282597492
"Cell_3445",45.82353,173.08403,3.27712576747831
"Cell_3467",608.525,169.525,3.82416247497749
"Cell_3466",423.7931,174.54597,2.57244369134807
"Cell_3543",240.20312,174.5625,3.90713392361798
"Cell_3517",407.7073,172.14635,1.84251616448965
"Cell_3544",328.26562,172.94531,2.18908364144225
"Cell_3542",169.20276,173.58525,2.776366679487
"Cell_3488",149.10959,172.43835,2.82917147182371
"Cell_3597",233.04878,175.60976,0
"Cell_3570",266.60638,175.54256,2.58956498638318
"Cell_3569",38.622448,175.87755,2.93768521145074
"Cell_3595",83.44326,178.13121,2.92822268221181
"Cell_3596",187.32445,175.56,2.70790529496151
"Cell_3599",622.65625,175.09375,3.26115304605562
"Cell_3593",27.15528,174.54659,3.54780829369038
"Cell_3594",57.493828,176.97531,2.67940011365646
"Cell_3572",487.25235,174.4299,1.33723425042697
"Cell_3620",599.9205,174.82576,2.10352981646245
"Cell_3571",437.0291,181.71198,1.91275697599363
"Cell_3619",380.8421,177.35088,0
"Cell_3646",612.2366,176.06451,3.40029866804407
"Cell_3644",315.67517,177.05095,2.72702777970616
"Cell_3643",207.87097,179.3871,2.7814539681696
"Cell_3701",196.5082,180.2295,3.75608431039795
"Cell_3758",239.71698,181.09435,3.95584446908445
"Cell_3618",359.5,177.30435,1.8673712134881
"Cell_3672",416.6534,182.45454,0.719479110225916
"Cell_3725",252.13637,182.37662,3.10476042337646
"Cell_3703",587.67413,180.22472,0
"Cell_3645",340.6414,180.33794,2.2601280735994
