"","x_cord","y_cord","group_broad_type"
"cell307",620.43567,167.81187,"Myoepi"
"cell312",350.33334,170.53206,"Malignant"
"cell313",275.0707,170.70708,"Malignant"
"cell314",189,167.45946,"Malignant"
"cell316",225.65517,174.36781,"Stromal"
"cell317",284.41666,170.23334,"Malignant"
"cell319",45.82353,173.08403,"Malignant"
"cell321",608.525,169.525,"Myoepi"
"cell324",423.7931,174.54597,"Stromal"
"cell326",240.20312,174.5625,"Malignant"
"cell328",407.7073,172.14635,"T"
"cell329",328.26562,172.94531,"Malignant"
"cell330",169.20276,173.58525,"Macrophage"
"cell331",149.10959,172.43835,"Macrophage"
"cell332",233.04878,175.60976,"Stromal"
"cell334",266.60638,175.54256,"Malignant"
"cell335",38.622448,175.87755,"Malignant"
"cell336",83.44326,178.13121,"Malignant"
"cell340",187.32445,175.56,"Myoepi"
"cell341",622.65625,175.09375,"Myoepi"
"cell342",27.15528,174.54659,"Malignant"
"cell345",57.493828,176.97531,"Malignant"
"cell346",487.25235,174.4299,"Malignant"
"cell347",599.9205,174.82576,"Myoepi"
"cell348",437.0291,181.71198,"Malignant"
"cell350",380.8421,177.35088,"Stromal"
"cell352",612.2366,176.06451,"Myoepi"
"cell353",315.67517,177.05095,"Malignant"
"cell354",207.87097,179.3871,"Malignant"
"cell359",196.5082,180.2295,"Malignant"
"cell363",239.71698,181.09435,"Malignant"
"cell365",359.5,177.30435,"Macrophage"
"cell366",416.6534,182.45454,"Stromal"
"cell367",252.13637,182.37662,"Malignant"
"cell369",587.67413,180.22472,"Stromal"
"cell370",340.6414,180.33794,"Malignant"
"cell371",390.44565,180.84782,"T"
"cell373",175.26712,187,"Malignant"
"cell375",270.41772,182.55696,"Malignant"
"cell377",165.30232,182.75581,"T"
"cell378",620.97296,180.72974,"Myoepi"
"cell379",105.666664,181.95238,"Stromal"
"cell384",156.69026,183.51328,"Macrophage"
"cell387",630.16925,183.8923,"Myoepi"
"cell389",403.2582,187.71361,"Malignant"
"cell390",313.7245,185.32654,"Malignant"
"cell391",503.8387,179.46452,"Malignant"
"cell392",639.5,183.37143,"Myoepi"
"cell393",228.7561,186.2561,"Malignant"
"cell395",66.291664,184.5,"Myoepi"
"cell397",297.48276,184.72414,"Malignant"
"cell398",372.45834,184.625,"Stromal"
"cell399",461.61765,179.66176,"Stromal"
"cell400",189.59224,185.18446,"Malignant"
"cell402",387.58008,192.37662,"DC_Mast"
"cell405",13.52439,187.07317,"Malignant"
"cell406",75.58108,186.1892,"Myoepi"
"cell408",239.02272,188.82954,"Malignant"
"cell409",319.19672,192.40984,"Malignant"
"cell412",263.71002,194.70631,"Malignant"
"cell414",103.26277,188.9562,"Stromal"
"cell415",116.90833,189.89166,"Malignant"
"cell416",149,189.8,"Stromal"
"cell419",634.73956,191.84375,"Myoepi"
"cell420",290.5368,191.87013,"Malignant"
"cell423",362.97873,191.14894,"Stromal"
"cell427",12.783582,197.00746,"Malignant"
"cell428",451.96,192.28,"Stromal"
"cell429",57.42857,193.04082,"Stromal"
"cell430",484.39343,192.32787,"Malignant"
"cell432",626.79584,194.36649,"Myoepi"
"cell433",188.28903,194.63123,"Malignant"
"cell434",437.22784,196.2152,"Macrophage"
"cell435",215.6811,197.97638,"Malignant"
"cell442",34.394737,199.9386,"DC_Mast"
"cell446",166.04808,198.35577,"Malignant"
"cell447",203.9939,196.65854,"Malignant"
"cell450",120.784485,198.61208,"Stromal"
