"","Var1","Freq"
"1","B",2238
"2","DC_Mast",915
"3","Macrophage",11783
"4","Malignant",37918
"5","Myoepi",4371
"6","Plasma",3089
"7","Stromal",21288
"8","T",21578
"9","unassigned",29
