"","x_cord","y_cord","group_broad_type"
"146",372.435897435898,175.230769230769,"Stromal"
"147",588.551724137931,174.862068965517,"Macrophage"
"148",393.736842105263,175.421052631579,"Malignant"
"149",448.0625,177.71875,"Macrophage"
"150",570.8,180.8,"T"
"151",590.354838709677,183.096774193548,"Macrophage"
"152",366.233333333333,185.2,"Macrophage"
"153",353.783783783784,187.783783783784,"Stromal"
"154",613.4,185.933333333333,"T"
"155",631.75,186.4,"Macrophage"
"156",329.108695652174,189,"T"
"157",401.444444444444,191.827160493827,"Malignant"
"158",577.8,190.1,"T"
"159",470.076923076923,192.615384615385,"Stromal"
"160",626.75,194.28125,"T"
"161",581.181818181818,195.333333333333,"Macrophage"
"162",423,195.096774193548,"Malignant"
"163",547.193548387097,196.806451612903,"DC_Mast"
"164",392.044117647059,199.411764705882,"Malignant"
"165",411.267857142857,201.285714285714,"Malignant"
"166",516.602564102564,204.179487179487,"Malignant"
"167",376.15,204,"Malignant"
"168",627.266666666667,204.066666666667,"T"
"169",531.518518518518,206.666666666667,"Malignant"
"170",499.79797979798,209.20202020202,"Malignant"
"171",633.653846153846,210.269230769231,"Stromal"
"172",561,208.5,"T"
"173",438.48717948718,209.487179487179,"Malignant"
"174",541.4,210.85,"Stromal"
"175",426.390243902439,215.19512195122,"Malignant"
"176",593.645161290323,213.967741935484,"B"
"177",525,215.513513513514,"Malignant"
"178",558.103448275862,216.413793103448,"Macrophage"
"179",406.106060606061,222.515151515152,"Malignant"
"180",376.049180327869,221.688524590164,"Malignant"
"181",440.242424242424,222.30303030303,"Malignant"
"182",483.321428571429,223.357142857143,"Malignant"
"183",633.575757575758,223.757575757576,"T"
"184",328,224.235294117647,"Macrophage"
"185",460.363636363636,225.181818181818,"Malignant"
"186",580.857142857143,226.5,"Stromal"
"187",430.661290322581,231.41935483871,"Malignant"
"188",637.567567567568,230.513513513514,"T"
"189",377.703703703704,231.407407407407,"Malignant"
"190",414.021739130435,235.739130434783,"Malignant"
"191",422.725,233.65,"Malignant"
"192",537.090909090909,232.272727272727,"Macrophage"
"193",395.94,236.4,"Stromal"
"194",632.769230769231,234.846153846154,"T"
"195",330.848484848485,236.393939393939,"Macrophage"
"196",554.40625,237.5,"Macrophage"
"197",627.44,237.92,"T"
"198",531.352272727273,244.590909090909,"Stromal"
"199",542.157894736842,241.157894736842,"Macrophage"
"200",470.892857142857,243.821428571429,"Malignant"
"201",432.96,244.98,"Malignant"
"202",583.526315789474,244.263157894737,"T"
"203",413.681818181818,249.363636363636,"Malignant"
"204",585.185185185185,253.074074074074,"Macrophage"
"205",423.5875,256.9625,"Malignant"
"206",370.333333333333,252.75,"Macrophage"
"207",483.196078431372,258.803921568627,"Malignant"
"208",522.966101694915,261.101694915254,"Stromal"
"209",366.741935483871,261.451612903226,"Macrophage"
"210",424.271186440678,266.64406779661,"Malignant"
"211",435.40625,268.03125,"Stromal"
"212",397.525,268.15,"Malignant"
"213",323.8,269.7,"Stromal"
"214",364.6,271,"Macrophage"
"215",515.085714285714,272.314285714286,"Malignant"
"216",562.674698795181,277.469879518072,"Malignant"
"217",574.428571428571,275.952380952381,"Malignant"
"218",542.093023255814,276.325581395349,"Macrophage"
"219",403.603174603175,279.269841269841,"Malignant"
"220",608.257142857143,277.285714285714,"Stromal"
"221",485.894736842105,277.210526315789,"Malignant"
"222",435.52,277.56,"Stromal"
"223",574.184615384615,286.676923076923,"Macrophage"
"224",344.296296296296,285.777777777778,"Macrophage"
"225",497.421052631579,285.315789473684,"Malignant"
"226",332.722222222222,286.194444444444,"Stromal"
"227",612.272727272727,286.090909090909,"Stromal"
"228",642.010101010101,286.222222222222,"Stromal"
"229",534.7,287.85,"T"
"230",380.875,292.392857142857,"Stromal"
"231",447,290.9375,"Stromal"
"232",551.933333333333,292.6,"Macrophage"
"233",402.414634146341,294.512195121951,"Malignant"
"234",473,293.142857142857,"Malignant"
"235",350.393442622951,297.401639344262,"Stromal"
"236",433.340425531915,295.957446808511,"Malignant"
"237",548.615384615385,296.461538461538,"Macrophage"
"238",515.875,299.96875,"T"
"239",336.333333333333,301.238095238095,"Stromal"
"240",361.219512195122,307,"Malignant"
"241",546.5,305,"T"
"242",425.41935483871,307.225806451613,"Malignant"
"243",590.416666666667,310.566666666667,"Stromal"
"244",567.5,314.243243243243,"Malignant"
"245",554.913580246914,318.876543209877,"Malignant"
"246",546.5625,316.625,"Stromal"
"247",591.96875,318.8125,"T"
"248",336.076923076923,319.653846153846,"Malignant"
"249",842.272727272727,58.3636363636364,"Macrophage"
"250",871.947368421053,63.6315789473684,"Macrophage"
"251",831.3125,69.0625,"Macrophage"
"252",794.52380952381,72.3809523809524,"T"
"253",810.411764705882,72.7058823529412,"T"
"254",776.8125,73.0625,"DC_Mast"
"255",804.6875,76.8125,"T"
"256",732.333333333333,80.5,"Macrophage"
"257",709,81.7931034482759,"Plasma"
"258",676.05,82.25,"T"
"259",837.380952380952,83.7142857142857,"DC_Mast"
"260",829.384615384615,85.3846153846154,"T"
"261",716.578947368421,86.3157894736842,"Myoepi"
"262",708.441860465116,91.2093023255814,"Stromal"
"263",822.666666666667,89.9166666666667,"Macrophage"
"264",692.333333333333,90.3888888888889,"T"
"265",759.307692307692,90.5384615384615,"T"
"266",807.186440677966,91.2542372881356,"Macrophage"
"267",930.483870967742,95.4193548387097,"DC_Mast"
"268",794.653846153846,93.7692307692308,"T"
"269",774,93.5,"T"
"270",889.823529411765,96.8235294117647,"T"
"271",740.434782608696,98.8260869565217,"Macrophage"
"272",863.545454545455,104.974025974026,"Stromal"
"273",924,100.5,"T"
"274",908.846153846154,101.538461538462,"T"
"275",735.4,101.6,"T"
"276",772.352941176471,102.470588235294,"T"
"277",715.65,107.65,"Macrophage"
"278",667,108.592592592593,"T"
"279",811.214285714286,107.285714285714,"Malignant"
"280",804.388888888889,107.222222222222,"Malignant"
"281",674.622222222222,112.911111111111,"Macrophage"
"282",744.818181818182,114.090909090909,"Macrophage"
"283",811.791666666667,118.5,"Malignant"
"284",784.583333333333,116.708333333333,"Malignant"
"285",881.794871794872,117.897435897436,"Macrophage"
"286",840.909090909091,120.363636363636,"T"
"287",803.941176470588,122.470588235294,"Malignant"
"288",777.269841269841,125.587301587302,"Malignant"
"289",689.851851851852,126.666666666667,"Macrophage"
"290",832.375,128.4375,"DC_Mast"
"291",806.5,129,"Stromal"
"292",701.038461538462,131.653846153846,"Macrophage"
"293",892.733333333333,132.133333333333,"T"
"294",795.604166666667,133.770833333333,"Malignant"
"295",775.854545454545,137.2,"Malignant"
"296",700.823529411765,137.764705882353,"Macrophage"
"297",737.5,139,"Malignant"
"298",827.466666666667,138.666666666667,"T"
"299",938.272727272727,144.227272727273,"Macrophage"
"300",870.363636363636,145.636363636364,"T"
"301",761.203125,146.59375,"Malignant"
"302",795.826923076923,147.596153846154,"Malignant"
"303",905.764705882353,146.588235294118,"T"
"304",775.6,149.133333333333,"Malignant"
"305",658.190476190476,148.333333333333,"T"
"306",672.870967741935,153.032258064516,"Plasma"
"307",804.5,154.125,"Stromal"
"308",663.391304347826,156.782608695652,"T"
"309",792.545454545455,156.818181818182,"Stromal"
"310",769.416666666667,161.166666666667,"Stromal"
"311",943.857142857143,162.761904761905,"Macrophage"
"312",753.090909090909,163.545454545455,"Macrophage"
"313",811.578947368421,163.421052631579,"T"
"314",746.619047619048,169.047619047619,"Macrophage"
"315",688.785714285714,169.821428571429,"T"
"316",864.1,169.1,"Macrophage"
"317",909.705882352941,173.588235294118,"T"
"318",820.15,180.9,"T"
"319",762.303571428571,183.446428571429,"Stromal"
"320",944.617647058824,183.911764705882,"DC_Mast"
"321",774.5,188.166666666667,"Stromal"
"322",646.758620689655,189.413793103448,"Macrophage"
"323",728.848484848485,189.727272727273,"Stromal"
"324",858.357142857143,189.857142857143,"Malignant"
"325",711.887323943662,196.028169014085,"Malignant"
"326",682.852941176471,194.529411764706,"Malignant"
"327",692.840909090909,196.931818181818,"Malignant"
"328",664.2,196.566666666667,"Malignant"
"329",852.5,197.041666666667,"Malignant"
"330",672.039215686274,201.735294117647,"Malignant"
"331",724.208333333333,201.25,"Malignant"
"332",652.015384615385,201.969230769231,"Malignant"
"333",906.708333333333,199.583333333333,"Macrophage"
"334",759.3,199.9,"Macrophage"
"335",776.583333333333,200.25,"Stromal"
"336",811.615384615385,200.615384615385,"T"
"337",737.714285714286,202.428571428571,"Macrophage"
"338",923.214285714286,204.142857142857,"T"
"339",830.1,206,"Malignant"
"340",757.590909090909,206,"T"
"341",794.307692307692,208.307692307692,"Stromal"
"342",739.68,210.44,"Stromal"
"343",701.426470588235,214.308823529412,"Malignant"
"344",749.958333333333,211.791666666667,"Malignant"
"345",696.48,219.94,"Stromal"
"346",764.349206349206,220.857142857143,"Malignant"
"347",655.098039215686,224.058823529412,"Stromal"
"348",775.615384615385,224.730769230769,"Malignant"
"349",755.851851851852,223.814814814815,"Malignant"
"350",742.382352941176,227.823529411765,"Malignant"
"351",848.615384615385,233.961538461538,"Macrophage"
"352",773.571428571429,233.357142857143,"T"
"353",882.904761904762,235.238095238095,"T"
"354",818.125,242.5,"T"
"355",715.731707317073,242.975609756098,"Stromal"
"356",917,241.5,"T"
"357",677.727272727273,245.136363636364,"Macrophage"
"358",735.862068965517,254.051724137931,"Stromal"
"359",687.689655172414,254.793103448276,"Macrophage"
"360",831.333333333333,253.166666666667,"Malignant"
"361",710.571428571429,256.714285714286,"T"
"362",814.166666666667,259.875,"Malignant"
"363",665.04,261.36,"Stromal"
"364",645.375,263.5,"Stromal"
"365",641.602941176471,271.588235294118,"Malignant"
"366",735.611111111111,276.777777777778,"Stromal"
"367",700.416666666667,278.25,"Macrophage"
"368",713.055555555556,277.833333333333,"Stromal"
"369",798.933333333333,280.333333333333,"Malignant"
"370",835.238095238095,282.714285714286,"Malignant"
"371",844,282,"Malignant"
"372",950.933333333333,281.8,"T"
"373",822.111111111111,282.740740740741,"Malignant"
"374",751.47619047619,283.333333333333,"Macrophage"
"375",958.47619047619,287.095238095238,"Macrophage"
"376",795.243243243243,292.864864864865,"Malignant"
"377",876.25,292.34375,"Macrophage"
"378",854.8,296.7,"Macrophage"
"379",880.866666666667,299.733333333333,"Macrophage"
"380",945.296296296296,305.259259259259,"Macrophage"
"381",845,303.5,"B"
"382",743.588235294118,307.941176470588,"Stromal"
"383",662.361111111111,310,"Malignant"
"384",910.263157894737,308.105263157895,"Stromal"
"385",796.967741935484,311.322580645161,"Stromal"
"386",953.411764705882,310.411764705882,"T"
"387",869.736842105263,313.578947368421,"T"
"388",875,313.5,"T"
"389",676.283783783784,316.337837837838,"Malignant"
"390",702.673469387755,320.040816326531,"Malignant"
"391",922.058823529412,316.588235294118,"DC_Mast"
"392",823.047619047619,316.809523809524,"Macrophage"
"393",853.769230769231,317.115384615385,"Macrophage"
"394",745.367346938776,320.489795918367,"Stromal"
"395",876.470588235294,318.470588235294,"T"
"396",798.344827586207,321.448275862069,"Macrophage"
"397",685.26,321.12,"Malignant"
"398",1255.27272727273,37.7272727272727,"T"
"399",1265.95,45.75,"T"
