"","x_cord","y_cord","gene"
"cell326",240.20312,174.5625,1.4496865
"cell328",407.7073,172.14635,0.3127011
"cell329",328.26562,172.94531,1.6152214
"cell330",169.20276,173.58525,0.22120138
"cell331",149.10959,172.43835,0.39273795
"cell332",233.04878,175.60976,0.45406324
"cell334",266.60638,175.54256,2.305559
"cell335",38.622448,175.87755,0.6066446
"cell336",83.44326,178.13121,1.5809678
"cell340",187.32445,175.56,0.76714104
"cell341",622.65625,175.09375,1.4923974
"cell342",27.15528,174.54659,1.4879831
"cell345",57.493828,176.97531,1.1367471
"cell346",487.25235,174.4299,2.1074243
"cell347",599.9205,174.82576,0.6960234
"cell348",437.0291,181.71198,2.278117
"cell350",380.8421,177.35088,0.43140087
"cell352",612.2366,176.06451,1.2498194
"cell353",315.67517,177.05095,2.3590143
"cell354",207.87097,179.3871,2.6696243
"cell359",196.5082,180.2295,2.7818284
"cell363",239.71698,181.09435,1.4560245
"cell365",359.5,177.30435,0.52403075
"cell366",416.6534,182.45454,0.82067454
"cell367",252.13637,182.37662,2.4788446
"cell369",587.67413,180.22472,0.50175214
"cell370",340.6414,180.33794,2.8335838
"cell371",390.44565,180.84782,0.32999992
"cell373",175.26712,187,1.936129
"cell375",270.41772,182.55696,2.2670076
"cell377",165.30232,182.75581,0.27450475
"cell378",620.97296,180.72974,1.0484422
"cell379",105.666664,181.95238,0.7757396
"cell384",156.69026,183.51328,0.37921166
"cell387",630.16925,183.8923,1.4989662
"cell389",403.2582,187.71361,1.1810993
"cell390",313.7245,185.32654,2.065838
"cell391",503.8387,179.46452,1.1771616
"cell392",639.5,183.37143,1.3637022
"cell393",228.7561,186.2561,1.8216435
"cell395",66.291664,184.5,0.5837926
"cell397",297.48276,184.72414,2.1074595
"cell398",372.45834,184.625,0.5040522
"cell399",461.61765,179.66176,0.16151246
"cell400",189.59224,185.18446,2.394078
"cell402",387.58008,192.37662,0.23435496
"cell405",13.52439,187.07317,1.4675401
"cell406",75.58108,186.1892,1.0903404
"cell408",239.02272,188.82954,2.2820673
"cell409",319.19672,192.40984,1.3461325
"cell412",263.71002,194.70631,2.2711687
"cell414",103.26277,188.9562,1.4144152
"cell415",116.90833,189.89166,1.7006149
"cell416",149,189.8,0.21822126
"cell419",634.73956,191.84375,0.6763404
"cell420",290.5368,191.87013,1.8306439
"cell423",362.97873,191.14894,0.9108244
"cell427",12.783582,197.00746,1.5694216
"cell428",451.96,192.28,0.4675934
"cell429",57.42857,193.04082,0.24045663
"cell430",484.39343,192.32787,1.8332024
"cell432",626.79584,194.36649,0.9318766
"cell433",188.28903,194.63123,2.4485044
"cell434",437.22784,196.2152,0.27714846
"cell435",215.6811,197.97638,1.0124787
"cell442",34.394737,199.9386,0.32405218
"cell446",166.04808,198.35577,1.9360517
"cell447",203.9939,196.65854,2.5101058
"cell450",120.784485,198.61208,0.54732305
"cell452",294.9192,199.77777,2.4605122
"cell453",353.3793,197.48276,0.4753131
"cell454",421.13974,196.77019,0.5648564
"cell459",306.0645,199.14194,2.8214688
"cell460",596.2526,198.2,0.6859914
"cell461",98.52907,200.09883,1.7596915
"cell462",273.38425,204.38916,2.5058508
"cell463",145.45946,197.27365,0.58133745
"cell464",155.74074,201.58025,1.2155361
"cell466",384.73495,200.95181,2.0281477
"cell468",73.88816,204.98685,1.2413615
"cell469",632.8929,201.5,0.5416005
"cell470",178.39682,203.68254,2.2758977
"cell471",399.6492,205.14659,2.2308347
"cell473",546.4545,200.75325,0.22068897
"cell474",246.46104,199.38962,1.4354954
"cell475",84.34259,202.98148,2.0795915
"cell476",346.13333,203.4,0.7735984
"cell478",287.75107,208.13304,2.3839345
"cell479",362.5,203.96591,0.53936803
"cell481",187.36667,204.72223,1.7045147
"cell485",608.24615,203.8,0.9222364
"cell488",507.5942,201.07246,0.22090912
"cell490",428.89536,205.86046,1.3702694
"cell491",159.86539,207.3077,1.2607671
"cell492",171.92622,208.09016,2.221969
"cell497",58.391026,209.08974,1.1269449
"cell499",194.97675,207.30232,1.4483721
"cell502",341.2857,207.71428,0.9665146
"cell503",17.690647,205.30936,1.6281556
"cell504",260.8323,209.87578,1.6789538
"cell505",423.9041,213.26712,1.9561169
"cell509",238.32292,209.64583,0.86307377
"cell511",490.80884,209.54411,0.1465628
"cell514",408.05264,209.8158,0.64200276
"cell515",377.97015,210.52238,2.162132
"cell518",305.10657,213.34427,1.1647179
"cell519",58.766666,212.53334,1.8769528
"cell521",131.01031,210.90721,0.23495892
"cell522",328.57376,211.70493,0.5831245
"cell523",546.91174,213,0.3040677
"cell524",448.43137,211.52942,0.12942497
"cell525",98.20721,212.45946,2.336228
"cell526",388.2553,212.89362,1.6974983
"cell527",353.92593,214.66667,2.620567
"cell528",85.48729,216.50847,2.3542945
"cell530",144.85715,212.17143,0.48342738
"cell533",616.21716,215.80807,0.9027206
"cell534",314.48718,214.23077,1.6250594
"cell539",475.8021,215.15625,0.18656205
"cell541",543,211.14935,0.3042664
"cell543",202.76,215.65334,0.13627109
"cell544",273.31073,220.02824,2.0752063
"cell545",225.34055,215.3081,0.57034737
"cell548",117.69643,215.14285,1.4388542
"cell549",240.52672,218.54199,0.37951365
"cell550",336.81055,221.06235,2.5566235
"cell554",38.85625,217.54375,1.8588505
"cell555",183.64761,218.91429,1.9491183
"cell556",12.4862385,216.0367,0.15917002
"cell557",163.13393,217,2.0699284
"cell559",367.0043,217.0043,2.3210375
"cell562",27.713236,215.58089,0.7418293
"cell563",51.762962,220.14815,2.4403052
"cell564",171.78021,219.7033,2.2119567
"cell567",315.64706,220.14117,2.1818569
"cell569",630.4091,219.98485,0.3112826
"cell572",68.43396,220.36792,2.1988847
"cell573",155.23932,226.1624,2.1663492
"cell576",137.1306,224.02985,1.2646073
"cell577",310.24,224.26,2.1246622
"cell578",482.46033,222.04762,0.124443166
"cell579",410.4311,221.70674,1.9604024
"cell580",493.78665,218.21333,0.16905849
"cell581",191.88489,224.90648,0.47642383
"cell582",387.48553,224.00578,2.1383429
"cell583",462.8305,222.47458,0.12277358
"cell584",329.44232,224.50961,0.9504367
"cell585",544.439,223.95122,0.3680584
"cell587",377.4355,225.79033,2.155518
"cell591",257.95322,222.23392,1.0531842
"cell592",201.375,225.5,0.3362255
"cell593",396.70108,226.94022,2.5573375
"cell594",96.55696,224.50633,2.0360973
"cell595",566.95,224.31667,0.23290868
"cell598",305.76047,228.5988,2.2684155
"cell599",239.37254,225.47058,0.2268136
"cell603",160.73494,227.48193,2.3325775
"cell604",636.7679,224.53572,0.35265347
"cell605",614.76086,226.94565,1.2860007
"cell606",372.2535,230.45775,2.2112374
"cell607",19.773333,222.72,0.53217775
"cell611",355.7927,230.13414,2.0803971
"cell612",430.47107,226.50414,1.1283464
"cell614",14.466666,230.6,1.8804045
"cell617",61.069443,230.77777,2.4556391
"cell618",235.36363,230.21213,0.29863104
"cell619",248.09302,230.89536,1.2567981
"cell620",75.74269,228.91228,2.090456
"cell621",131.45454,229.81818,0.88683903
"cell625",226.89473,230.63158,0.35812855
"cell627",323.44232,231.4423,2.3459246
"cell629",46.925,227.74374,2.2529812
"cell630",190.56522,233.28986,1.328962
"cell631",418.62338,230.82468,2.1325748
"cell633",252.61157,237.3967,0.9313931
"cell637",168.8772,233.33333,1.2094057
"cell640",612.5301,234.85542,0.6729277
"cell641",89.347824,237.30435,1.3745517
"cell644",139.69388,234.95918,1.7289232
"cell645",367.73785,236.93204,2.3277822
"cell646",533.1539,235.4077,0.27666625
"cell647",634.35,234.525,0.70763314
"cell648",328.2,235.76666,2.1508682
"cell649",345.669,236.82394,2.0962741
"cell652",128.96297,235.59259,0.4325243
"cell656",53.638298,236.34042,2.2816107
"cell657",202.392,236.736,0.3592336
"cell659",233.55186,238.32365,0.50071996
"cell660",155.70909,241.61818,2.2767797
"cell661",112.42105,236.89473,0.576748
"cell663",471.67856,237.52678,0.30957332
"cell664",591.92,237.50667,0.76125896
"cell665",261.9014,238.88733,0.639334
"cell667",134.15573,242.90984,1.6743797
"cell668",627.617,240.89362,2.498288
"cell670",411.50385,241.06154,2.4701788
"cell671",66.97647,240.62354,1.3163418
"cell675",322.34952,243.54369,2.5785322
"cell677",598,241.86792,0.79903275
"cell678",42.07595,243.72151,1.1372209
"cell679",347.46393,244.35051,2.0836017
"cell680",376.96396,241.84685,2.4225547
"cell681",577.7059,240.64706,0.2670164
"cell682",201.56863,242.2745,0.4750948
"cell683",298.1486,237.47389,2.3674948
"cell687",33.753246,243.90909,1.8990959
"cell688",191.45963,243.64597,1.2633052
"cell689",124.76119,244.47762,1.0216764
"cell690",181.08888,246.59555,2.147067
"cell691",360.22012,243.63522,2.6031382
"cell695",155.17342,245.79768,1.6816317
"cell696",448.72223,246,0.25613642
"cell700",282.5,244.30263,2.0225232
"cell702",50.72388,246.46269,2.3749053
"cell703",256.56757,248.16216,1.5617145
"cell707",426.82693,244.89423,0.60472816
"cell710",17.290817,247.13776,1.9468094
"cell711",73.440254,250.20126,2.1767747
"cell712",291.2204,250.88487,2.312035
"cell713",612.944,251.208,1.4756191
"cell714",58.62406,248.87218,1.6987889
"cell715",103.09876,249.59877,1.619755
"cell718",213.76086,253.34782,0.92596716
"cell721",225.79259,248.92592,2.4166467
"cell726",607.51166,248.2093,1.2495995
"cell727",136.02684,252.72484,2.3025239
"cell728",461.5702,252.1228,0.2521864
"cell729",348.86,249.7,2.2590616
"cell731",204.63435,251.06168,2.281023
"cell732",41.73171,251.56097,2.2440937
"cell735",372.19736,252.73027,1.9443543
"cell736",636.50574,249.08046,0.73706454
"cell738",329.31677,250.30435,2.267977
"cell743",362.32877,256.4041,2.4648767
"cell744",519.95496,253.7027,0.37232465
"cell745",172.46378,253.62318,2.2479534
"cell746",272.89517,256.83066,2.613268
"cell749",445.725,253.2625,0.19683583
"cell750",600.9149,252.87234,1.1729888
"cell753",94.864075,256.83496,2.2300096
"cell755",339.37,252.56,2.1823075
"cell757",124.635414,254.70833,1.5666717
"cell758",349.59723,257.89584,2.3687308
"cell759",576.1111,258.5889,0.41634303
"cell763",410.22748,256.8057,2.6068141
"cell765",508.35,258.04,0.28669232
"cell768",398.89163,255.61577,2.4082355
"cell770",623.0459,256.69724,1.7457689
"cell771",35.40625,258.5104,2.3965225
"cell773",222.76712,261.50684,2.0068517
"cell775",262.87964,258.60184,1.1304412
"cell776",69.05303,260.0909,0.5061946
"cell777",579.9143,257.22858,0.59247136
"cell780",326.8387,261.21774,2.1958492
"cell781",167.57004,261.17264,2.0493999
"cell782",50.22689,261.36136,1.743857
"cell783",588.2432,259.51352,0.9878771
"cell785",101.915886,262.40186,1.4822743
"cell787",566.76666,261.4,0.7824235
"cell793",607.9431,260.44714,1.2500311
"cell795",623.6144,266.589,1.9788059
"cell797",635.3333,264.12964,0.9049288
"cell800",180.6962,264.96204,1.9087286
"cell802",25.016304,266.29892,2.5579085
"cell803",306.27902,259.0889,2.3466063
"cell806",16.589743,260.92307,2.2737777
"cell807",380.40115,265.64536,1.8222485
"cell808",557.2684,271.013,0.49730045
"cell810",87.875,264.4375,0.81596655
"cell811",151.52055,265.47946,1.4126521
"cell812",280.33572,265.775,2.4268186
"cell813",192.38461,265.74176,1.6414746
"cell815",207.16,264.552,1.7318677
"cell816",599.871,265.5269,1.9188617
"cell819",610.36957,269.56522,1.1330985
"cell821",351.21738,268.36758,2.444583
"cell824",329.43103,270.43677,2.1823232
"cell825",574.6847,268.1081,0.8394273
"cell826",370.48022,269.25424,2.131315
"cell827",587.82434,267.74326,1.3775853
"cell834",227.06433,270.45615,2.2408912
"cell837",110.97122,267.52518,1.2933677
"cell838",41.19149,270.92554,2.4752052
"cell841",52.166668,270.7564,1.8422562
"cell842",79.24286,271.15714,0.22921744
"cell846",234.17188,272.01562,0.92200965
"cell851",252.97437,272.94873,0.8249549
"cell853",289.46957,271.9652,1.2850065
"cell854",20.658537,271.5366,2.3878725
"cell855",175.64844,274.85156,2.5607636
"cell856",552.1429,270.85715,0.7256071
"cell857",72.520836,273.72916,0.03761735
"cell858",183.55446,276.77228,2.0950918
"cell860",127.43104,269.31897,0.49787188
"cell861",541.9672,272.0492,0.42828798
"cell862",580.6719,274.39062,1.0837185
"cell864",8.840909,273.61365,1.3622903
"cell865",320.48087,277.42078,2.540055
"cell867",306.35263,277.8111,2.6225214
"cell868",417.2958,274.02893,1.7169231
"cell872",31.347826,277.65942,2.815021
"cell873",574.43445,278.4918,1.2161751
"cell875",155.95192,275.34616,1.4060825
"cell877",625.129,276.51614,1.3825511
"cell878",400.07443,271.92093,0.7934261
"cell882",217.07333,277.79333,2.5765202
"cell883",247.18462,278.26154,0.67683536
"cell885",88.23963,276.3456,0.49438617
"cell886",342.30908,280.9,2.4432719
"cell887",562.2632,278.25,1.4082149
"cell888",352.47873,277.67023,2.23625
"cell889",487,276.86047,0.26025453
"cell890",540.11444,286.1199,0.4547534
"cell892",105.66038,279.54718,1.8419211
"cell893",605.0574,276.81558,1.7004017
"cell894",131.96227,282.7321,1.4450426
"cell895",361.51886,280.3302,2.4770806
"cell896",10.395833,280.20834,1.9526169
"cell898",281.15942,281.33817,2.343968
"cell899",384.0898,281.4611,2.3719866
"cell903",400.0875,286.25626,1.3581187
"cell906",190.71622,282.27026,1.907688
"cell910",599.42975,285.37604,1.7902406
"cell913",310.35898,287.06412,2.32175
"cell916",99.64706,288.50327,2.3817506
"cell918",18.181818,284.90082,2.1659036
"cell920",619.9954,287.90866,1.9479188
"cell921",83.888885,285.6111,0.77124935
"cell925",281,287.07843,1.9885002
"cell928",120.15748,290.24408,1.6408503
"cell929",183.0065,292.45456,2.8277676
"cell930",255.65,291.20834,2.1739125
"cell931",325.0548,287.35617,2.7147806
"cell932",156.41936,287.0887,1.2112294
"cell935",353.49796,292.03674,2.6469183
"cell936",392.05264,292.4,0.9183245
"cell937",518.0617,289.74075,0.38503426
"cell939",565.2615,287.44495,1.2546811
"cell941",581.4185,291.14096,1.5658889
"cell942",329.58798,291.3691,2.7916088
