"x","y","celltype","model"
565.904761904762,151.095238095238,"Macrophage","CZI minor"
513.828571428571,152,"Macrophage","CZI minor"
343.8,155.314285714286,"Plasma","CZI minor"
461.3,153.8,"Macrophage","CZI minor"
488.333333333333,154.066666666667,"Stromal","CZI minor"
493.5,156,"Macrophage","CZI minor"
372.656716417911,159.34328358209,"Stromal","CZI minor"
561.333333333333,160,"Macrophage","CZI minor"
432.615384615385,162.615384615385,"Macrophage","CZI minor"
444.705882352941,163.058823529412,"Macrophage","CZI minor"
402.411764705882,165.264705882353,"T","CZI minor"
414.777777777778,166.666666666667,"T","CZI minor"
380.468085106383,168.148936170213,"Macrophage","CZI minor"
582.105263157895,168.578947368421,"T","CZI minor"
430.434782608696,170.5,"Macrophage","CZI minor"
540.044444444444,170.444444444444,"Macrophage","CZI minor"
617.133333333333,172.8,"T","CZI minor"
372.435897435898,175.230769230769,"Stromal","CZI minor"
588.551724137931,174.862068965517,"Macrophage","CZI minor"
393.736842105263,175.421052631579,"Malignant","CZI minor"
448.0625,177.71875,"Macrophage","CZI minor"
570.8,180.8,"T","CZI minor"
590.354838709677,183.096774193548,"Macrophage","CZI minor"
366.233333333333,185.2,"Macrophage","CZI minor"
353.783783783784,187.783783783784,"Stromal","CZI minor"
613.4,185.933333333333,"T","CZI minor"
631.75,186.4,"Macrophage","CZI minor"
329.108695652174,189,"T","CZI minor"
401.444444444444,191.827160493827,"Malignant","CZI minor"
577.8,190.1,"T","CZI minor"
470.076923076923,192.615384615385,"Stromal","CZI minor"
626.75,194.28125,"T","CZI minor"
581.181818181818,195.333333333333,"Macrophage","CZI minor"
423,195.096774193548,"Malignant","CZI minor"
547.193548387097,196.806451612903,"DC_Mast","CZI minor"
392.044117647059,199.411764705882,"Malignant","CZI minor"
411.267857142857,201.285714285714,"Malignant","CZI minor"
516.602564102564,204.179487179487,"Malignant","CZI minor"
376.15,204,"Malignant","CZI minor"
627.266666666667,204.066666666667,"T","CZI minor"
531.518518518518,206.666666666667,"Malignant","CZI minor"
499.79797979798,209.20202020202,"Malignant","CZI minor"
633.653846153846,210.269230769231,"Stromal","CZI minor"
561,208.5,"T","CZI minor"
438.48717948718,209.487179487179,"Malignant","CZI minor"
541.4,210.85,"Stromal","CZI minor"
426.390243902439,215.19512195122,"Malignant","CZI minor"
593.645161290323,213.967741935484,"B","CZI minor"
525,215.513513513514,"Malignant","CZI minor"
558.103448275862,216.413793103448,"Macrophage","CZI minor"
406.106060606061,222.515151515152,"Malignant","CZI minor"
376.049180327869,221.688524590164,"Malignant","CZI minor"
440.242424242424,222.30303030303,"Malignant","CZI minor"
483.321428571429,223.357142857143,"Malignant","CZI minor"
633.575757575758,223.757575757576,"T","CZI minor"
328,224.235294117647,"Macrophage","CZI minor"
460.363636363636,225.181818181818,"Malignant","CZI minor"
580.857142857143,226.5,"Stromal","CZI minor"
430.661290322581,231.41935483871,"Malignant","CZI minor"
637.567567567568,230.513513513514,"T","CZI minor"
377.703703703704,231.407407407407,"Malignant","CZI minor"
414.021739130435,235.739130434783,"Malignant","CZI minor"
422.725,233.65,"Malignant","CZI minor"
537.090909090909,232.272727272727,"Macrophage","CZI minor"
395.94,236.4,"Stromal","CZI minor"
632.769230769231,234.846153846154,"T","CZI minor"
330.848484848485,236.393939393939,"Macrophage","CZI minor"
554.40625,237.5,"Macrophage","CZI minor"
627.44,237.92,"T","CZI minor"
531.352272727273,244.590909090909,"Stromal","CZI minor"
542.157894736842,241.157894736842,"Macrophage","CZI minor"
470.892857142857,243.821428571429,"Malignant","CZI minor"
432.96,244.98,"Malignant","CZI minor"
583.526315789474,244.263157894737,"T","CZI minor"
413.681818181818,249.363636363636,"Malignant","CZI minor"
585.185185185185,253.074074074074,"Macrophage","CZI minor"
423.5875,256.9625,"Malignant","CZI minor"
370.333333333333,252.75,"Macrophage","CZI minor"
483.196078431372,258.803921568627,"Malignant","CZI minor"
522.966101694915,261.101694915254,"Stromal","CZI minor"
366.741935483871,261.451612903226,"Macrophage","CZI minor"
424.271186440678,266.64406779661,"Malignant","CZI minor"
435.40625,268.03125,"Stromal","CZI minor"
397.525,268.15,"Malignant","CZI minor"
323.8,269.7,"Stromal","CZI minor"
364.6,271,"Macrophage","CZI minor"
515.085714285714,272.314285714286,"Malignant","CZI minor"
562.674698795181,277.469879518072,"Malignant","CZI minor"
574.428571428571,275.952380952381,"Malignant","CZI minor"
542.093023255814,276.325581395349,"Macrophage","CZI minor"
403.603174603175,279.269841269841,"Malignant","CZI minor"
608.257142857143,277.285714285714,"Stromal","CZI minor"
485.894736842105,277.210526315789,"Malignant","CZI minor"
435.52,277.56,"Stromal","CZI minor"
574.184615384615,286.676923076923,"Macrophage","CZI minor"
344.296296296296,285.777777777778,"Macrophage","CZI minor"
497.421052631579,285.315789473684,"Malignant","CZI minor"
332.722222222222,286.194444444444,"Stromal","CZI minor"
612.272727272727,286.090909090909,"Stromal","CZI minor"
642.010101010101,286.222222222222,"Stromal","CZI minor"
534.7,287.85,"T","CZI minor"
380.875,292.392857142857,"Stromal","CZI minor"
447,290.9375,"Stromal","CZI minor"
551.933333333333,292.6,"Macrophage","CZI minor"
402.414634146341,294.512195121951,"Malignant","CZI minor"
473,293.142857142857,"Malignant","CZI minor"
350.393442622951,297.401639344262,"Stromal","CZI minor"
433.340425531915,295.957446808511,"Malignant","CZI minor"
548.615384615385,296.461538461538,"Macrophage","CZI minor"
515.875,299.96875,"T","CZI minor"
336.333333333333,301.238095238095,"Stromal","CZI minor"
361.219512195122,307,"Malignant","CZI minor"
546.5,305,"T","CZI minor"
425.41935483871,307.225806451613,"Malignant","CZI minor"
590.416666666667,310.566666666667,"Stromal","CZI minor"
567.5,314.243243243243,"Malignant","CZI minor"
554.913580246914,318.876543209877,"Malignant","CZI minor"
546.5625,316.625,"Stromal","CZI minor"
591.96875,318.8125,"T","CZI minor"
336.076923076923,319.653846153846,"Malignant","CZI minor"
842.272727272727,58.3636363636364,"Macrophage","CZI minor"
871.947368421053,63.6315789473684,"Macrophage","CZI minor"
831.3125,69.0625,"T","CZI minor"
794.52380952381,72.3809523809524,"T","CZI minor"
810.411764705882,72.7058823529412,"T","CZI minor"
776.8125,73.0625,"DC_Mast","CZI minor"
804.6875,76.8125,"T","CZI minor"
732.333333333333,80.5,"Macrophage","CZI minor"
709,81.7931034482759,"Plasma","CZI minor"
676.05,82.25,"T","CZI minor"
