"gene","dataset","DeepPT","DeepSpaCE","GHIST","GeneCodeR","HisToGene","Hist2ST","ST-Net","THItoGene","iStar","overall_mean_cor"
"GNAS","her2+",0.409272288601987,0.383203408978521,0.419481719376345,0.290080653489392,0.348701856601799,0.259058724626722,0.283449434869891,0.228516856635913,0.264323148560379,0.320676454637883
"FASN","her2+",0.403256663450595,0.320666309324583,0.418721851488663,0.279256461369853,0.306395695466549,0.214263635067115,0.368621030441812,0.203382667233342,0.275492293945602,0.310006289754235
"SCD","her2+",0.335733867519517,0.241579696737824,0.335537409022031,0.152732071609161,0.284780978803315,0.21504065640633,0.312799607281172,0.212362643775714,0.213343562826682,0.255990054886861
"MYL12B","her2+",0.303827970334607,0.225906145509635,0.315375113270527,0.189251557940403,0.28348672395195,0.260081710501132,0.265452860588066,0.223877130525541,0.154239105919194,0.246833146504562
"CLDN4","her2+",0.308673928330267,0.199878305015656,0.322575164862574,0.229403755780365,0.280221000944755,0.207853776685021,0.270717812808266,0.164206769376195,0.181513934758352,0.240560494284606
