data,permutation,subgroup,cindex
DeepSpaCE,41,HER2+,0.456144038
DeepSpaCE,42,HER2+,0.553020894
DeepSpaCE,43,HER2+,0.404607718
DeepSpaCE,44,HER2+,0.406549222
DeepSpaCE,45,HER2+,0.491300366
DeepSpaCE,46,HER2+,0.528136822
DeepSpaCE,47,HER2+,0.630990864
DeepSpaCE,48,HER2+,0.413630229
DeepSpaCE,49,HER2+,0.352711902
DeepSpaCE,50,HER2+,0.443785426
DeepSpaCE,51,HER2+,0.467127941
DeepSpaCE,52,HER2+,0.610253743
DeepSpaCE,53,HER2+,0.48332318
DeepSpaCE,54,HER2+,0.509505791
DeepSpaCE,55,HER2+,0.745866034
DeepSpaCE,56,HER2+,0.305714286
DeepSpaCE,57,HER2+,0.462522523
DeepSpaCE,58,HER2+,0.423508484
DeepSpaCE,59,HER2+,0.730322089
DeepSpaCE,60,HER2+,0.270372277
DeepSpaCE,61,HER2+,0.621598639
DeepSpaCE,62,HER2+,0.62633461
DeepSpaCE,63,HER2+,0.600574713
DeepSpaCE,64,HER2+,0.208370174
DeepSpaCE,65,HER2+,0.518074934
DeepSpaCE,66,HER2+,0.282142857
DeepSpaCE,67,HER2+,0.663881927
DeepSpaCE,68,HER2+,0.425663518
DeepSpaCE,69,HER2+,0.44167532
DeepSpaCE,70,HER2+,0.433440687
DeepSpaCE,71,HER2+,0.530582663
DeepSpaCE,72,HER2+,0.600375528
DeepSpaCE,73,HER2+,0.600440286
DeepSpaCE,74,HER2+,0.368143583
DeepSpaCE,75,HER2+,0.525197664
DeepSpaCE,76,HER2+,0.357593037
DeepSpaCE,77,HER2+,0.750820124
DeepSpaCE,78,HER2+,0.415191511
DeepSpaCE,79,HER2+,0.33993623
DeepSpaCE,80,HER2+,0.547715966
DeepSpaCE,81,HER2+,0.512511481
DeepSpaCE,82,HER2+,0.433539095
DeepSpaCE,83,HER2+,0.234721824
DeepSpaCE,84,HER2+,0.375891803
DeepSpaCE,85,HER2+,0.530560499
DeepSpaCE,86,HER2+,0.631280383
DeepSpaCE,87,HER2+,0.471904399
DeepSpaCE,88,HER2+,0.378872314
DeepSpaCE,89,HER2+,0.47962963
DeepSpaCE,90,HER2+,0.370652557
DeepSpaCE,91,HER2+,0.327863212
DeepSpaCE,92,HER2+,0.425091316
DeepSpaCE,93,HER2+,0.366329966
DeepSpaCE,94,HER2+,0.439027898
DeepSpaCE,95,HER2+,0.537481259
DeepSpaCE,96,HER2+,0.486236559
DeepSpaCE,97,HER2+,0.505498709
DeepSpaCE,98,HER2+,0.579575458
DeepSpaCE,99,HER2+,0.472658171
DeepSpaCE,100,HER2+,0.626249447
