"time","n.risk","n.event","n.censor","surv","std.err","upper","lower","strata","risk_cat","pval.txt","pval","data","subgroup"
1308,10,0,1,0.863234459977979,0.0825629233533378,1,0.734262047698778,"risk_cat=high-risk","high-risk","p = 0.95",0.949751901724183,"DeepPT","HER2+"
1532,9,0,1,0.863234459977979,0.0825629233533378,1,0.734262047698778,"risk_cat=high-risk","high-risk","p = 0.95",0.949751901724183,"DeepPT","HER2+"
1639,8,0,1,0.863234459977979,0.0825629233533378,1,0.734262047698778,"risk_cat=high-risk","high-risk","p = 0.95",0.949751901724183,"DeepPT","HER2+"
1686,7,0,1,0.863234459977979,0.0825629233533378,1,0.734262047698778,"risk_cat=high-risk","high-risk","p = 0.95",0.949751901724183,"DeepPT","HER2+"
1953,6,0,1,0.863234459977979,0.0825629233533378,1,0.734262047698778,"risk_cat=high-risk","high-risk","p = 0.95",0.949751901724183,"DeepPT","HER2+"
2161,5,0,1,0.863234459977979,0.0825629233533378,1,0.734262047698778,"risk_cat=high-risk","high-risk","p = 0.95",0.949751901724183,"DeepPT","HER2+"
2335,4,0,1,0.863234459977979,0.0825629233533378,1,0.734262047698778,"risk_cat=high-risk","high-risk","p = 0.95",0.949751901724183,"DeepPT","HER2+"
2483,3,0,1,0.863234459977979,0.0825629233533378,1,0.734262047698778,"risk_cat=high-risk","high-risk","p = 0.95",0.949751901724183,"DeepPT","HER2+"
2515,2,0,1,0.863234459977979,0.0825629233533378,1,0.734262047698778,"risk_cat=high-risk","high-risk","p = 0.95",0.949751901724183,"DeepPT","HER2+"
3957,1,0,1,0.863234459977979,0.0825629233533378,1,0.734262047698778,"risk_cat=high-risk","high-risk","p = 0.95",0.949751901724183,"DeepPT","HER2+"
10,46,0,2,1,0,1,1,"risk_cat=low-risk","low-risk","p = 0.95",0.949751901724183,"DeepPT","HER2+"
31,44,0,1,1,0,1,1,"risk_cat=low-risk","low-risk","p = 0.95",0.949751901724183,"DeepPT","HER2+"
213,43,0,1,1,0,1,1,"risk_cat=low-risk","low-risk","p = 0.95",0.949751901724183,"DeepPT","HER2+"
218,42,0,1,1,0,1,1,"risk_cat=low-risk","low-risk","p = 0.95",0.949751901724183,"DeepPT","HER2+"
224,41,1,0,0.975609756097561,0.0246932399162397,1,0.929516729600918,"risk_cat=low-risk","low-risk","p = 0.95",0.949751901724183,"DeepPT","HER2+"
273,40,0,1,0.975609756097561,0.0246932399162397,1,0.929516729600918,"risk_cat=low-risk","low-risk","p = 0.95",0.949751901724183,"DeepPT","HER2+"
297,39,0,1,0.975609756097561,0.0246932399162397,1,0.929516729600918,"risk_cat=low-risk","low-risk","p = 0.95",0.949751901724183,"DeepPT","HER2+"
304,38,0,1,0.975609756097561,0.0246932399162397,1,0.929516729600918,"risk_cat=low-risk","low-risk","p = 0.95",0.949751901724183,"DeepPT","HER2+"
323,37,0,1,0.975609756097561,0.0246932399162397,1,0.929516729600918,"risk_cat=low-risk","low-risk","p = 0.95",0.949751901724183,"DeepPT","HER2+"
385,36,1,0,0.948509485094851,0.0374620727030922,1,0.881361152034322,"risk_cat=low-risk","low-risk","p = 0.95",0.949751901724183,"DeepPT","HER2+"
426,35,0,1,0.948509485094851,0.0374620727030922,1,0.881361152034322,"risk_cat=low-risk","low-risk","p = 0.95",0.949751901724183,"DeepPT","HER2+"
502,34,0,1,0.948509485094851,0.0374620727030922,1,0.881361152034322,"risk_cat=low-risk","low-risk","p = 0.95",0.949751901724183,"DeepPT","HER2+"
