"pred_type","gene","model_id","dataset","cor_pearson","ssim"
"test","MFSD7","GeneCodeR","her2+",0.0363176510488215,0.0174875358314074
"test","MGMT","GeneCodeR","her2+",0.0859194934065133,0.0373766059095013
"test","MGP","GeneCodeR","her2+",0.144598785284227,0.0694154675979584
"test","MIB2","GeneCodeR","her2+",0.0733073759937864,0.0192922129213782
"test","MICAL1","GeneCodeR","her2+",0.0784821950900908,0.0302449649707315
"test","MICALL2","GeneCodeR","her2+",0.0633905491779003,0.0258002388459981
"test","MID1IP1","GeneCodeR","her2+",0.141573878630775,0.0555606536146637
"test","MIF","GeneCodeR","her2+",0.0723955007354382,0.0252034348033377
"test","MIIP","GeneCodeR","her2+",0.131373197766374,0.05105049054512
"test","MKNK1","GeneCodeR","her2+",0.0683836544929361,0.0213182275931733
"test","MLLT4","GeneCodeR","her2+",0.0703860882222175,0.024018753946263
"test","MLST8","GeneCodeR","her2+",0.142031880112639,0.074247974476552
"test","MMP9","GeneCodeR","her2+",0.0508521296555763,0.0244873864864122
"test","MORC2","GeneCodeR","her2+",0.100156417458687,0.0349246170694767
"test","MPND","GeneCodeR","her2+",0.0645291792383302,0.0260979239155018
"test","MPST","GeneCodeR","her2+",0.150280289162116,0.0778115286010144
"test","MRPL2","GeneCodeR","her2+",0.0822486963345925,0.0285818361984228
"test","MRPL21","GeneCodeR","her2+",0.106293668876537,0.0322965366721804
"test","MRPL23","GeneCodeR","her2+",0.0534512581583256,0.0226235684286248
"test","MRPL51","GeneCodeR","her2+",0.13787776920949,0.0602746512915514
"test","MRPL54","GeneCodeR","her2+",0.0525641173526487,0.0288596298932195
"test","MRPS22","GeneCodeR","her2+",0.0681165199626784,0.0165602376362285
"test","MS4A6A","GeneCodeR","her2+",0.0607477336103395,0.0225097483198984
"test","MST1R","GeneCodeR","her2+",0.115251990004035,0.0322495473343698
"test","MTG2","GeneCodeR","her2+",0.0859406999461203,0.0295881306886189
"test","MTMR12","GeneCodeR","her2+",0.0684230419640439,0.0203103691566821
"test","MUC1","GeneCodeR","her2+",0.125008490893735,0.0629676170986288
"test","MUCL1","GeneCodeR","her2+",0.0454536798097992,0.0286886159552347
"test","MUS81","GeneCodeR","her2+",0.123145450402159,0.0508595089744587
"test","MVP","GeneCodeR","her2+",0.146978264897324,0.0899870746050659
"test","MX2","GeneCodeR","her2+",0.0403967230301767,0.0106221518264141
"test","MYH10","GeneCodeR","her2+",0.0206319550086183,0.00824416336239337
"test","MYL12B","GeneCodeR","her2+",0.189251557940403,0.0894115022123927
"test","MYL6B","GeneCodeR","her2+",0.0662805601249797,0.0301215524926808
"test","MYL9","GeneCodeR","her2+",0.0948033474207148,0.0796096744392523
"test","MYO1G","GeneCodeR","her2+",0.0412178131238762,0.0129510997569686
"test","MYO9B","GeneCodeR","her2+",0.166411172972911,0.0847970410199752
"test","MZT2A","GeneCodeR","her2+",0.148178201094175,0.0778208922434882
"test","NAA10","GeneCodeR","her2+",0.166917975072166,0.0830751387812364
"test","NANS","GeneCodeR","her2+",0.0733295119387645,0.031890511596289
"test","NCKAP1L","GeneCodeR","her2+",0.0230952401750022,0.00832493187565513
"test","NCKAP5L","GeneCodeR","her2+",0.0696649279215191,0.0169805779494908
"test","NDRG1","GeneCodeR","her2+",0.150498910300545,0.0666010668020976
"test","NDUFA1","GeneCodeR","her2+",0.150921723877464,0.0709269116692647
"test","NDUFA12","GeneCodeR","her2+",0.0885041695716148,0.03212785593575
"test","NDUFB2","GeneCodeR","her2+",0.178873996166015,0.0841481945184535
"test","NDUFB3","GeneCodeR","her2+",0.11357661252959,0.0348342833590377
