"","per_gene_cor","method"
"1",0.946183040131597,"ghist"
"2",0.835113956630515,"ghist"
"3",0.93685041741648,"ghist"
"4",0.25127914837274,"ghist"
"5",0.952114726675011,"ghist"
"6",0.925235147549292,"ghist"
"7",0.839677354609598,"ghist"
"8",0.943237422052256,"ghist"
"9",0.853702684669664,"ghist"
"10",0.943662875356842,"ghist"
"11",0.912152702978274,"ghist"
"12",0.93078189638144,"ghist"
"13",0.942904481868598,"ghist"
"14",0.916901440843812,"ghist"
"15",0.942248697964591,"ghist"
"16",0.908655365513406,"ghist"
"17",0.684088625172816,"ghist"
"18",0.81692263956671,"ghist"
"19",0.850958775458916,"ghist"
"20",0.809018656631297,"ghist"
"21",0.829747956829335,"istar"
"22",0.802844560864362,"istar"
"23",0.825704275723861,"istar"
"24",0.725377723522779,"istar"
"25",0.822992785112827,"istar"
"26",0.821761762348292,"istar"
"27",0.759052312176419,"istar"
"28",0.815601921308511,"istar"
"29",0.756406255391531,"istar"
"30",0.805519056015295,"istar"
"31",0.81608233181561,"istar"
"32",0.813659351580087,"istar"
"33",0.811895804273825,"istar"
"34",0.82614374013179,"istar"
"35",0.791467201146798,"istar"
"36",0.788993954291102,"istar"
"37",0.711689993966311,"istar"
"38",0.738017732399958,"istar"
"39",0.79537194899978,"istar"
"40",0.781020467920661,"istar"
